evidence_page,relation,source,target
,publishes,company::r036_fordmotor,report::r036_fordmotor__20250__sustainabilityreport
,matched_to_source,report::r036_fordmotor__20250__sustainabilityreport,source::2025-integrated-sustainability-and-financial-report-FORD MOTOR.pdf
,publishes,company::r037_bankofchina,report::r037_bankofchina__20240__other
,matched_to_source,report::r037_bankofchina__20240__other,source::2024中国银行股份有限公司社会责任报告.pdf
,publishes,company::r041_bmwgroup,report::r041_bmwgroup__20240__other
,matched_to_source,report::r041_bmwgroup__20240__other,source::2024_09_10_Umwelterklaerung_BMW_Group_2024_TUEVsigned_DE.pdf
,publishes,company::r042_mercedesbenzgroup,report::r042_mercedesbenzgroup__20240__sustainabilityreport
,matched_to_source,report::r042_mercedesbenzgroup__20240__sustainabilityreport,source::mercedes-benz-ir-sustainability-targets-and-metrics-summary-2024.pdf
,publishes,company::r044_chinabaowusteelgroup,report::r044_chinabaowusteelgroup__20230__other
,matched_to_source,report::r044_chinabaowusteelgroup__20230__other,source::2023-中国宝武钢铁集团有限公司ESG报告.pdf
,publishes,company::r045_citigroup,report::r045_citigroup__20240__sustainabilityreport
,matched_to_source,report::r045_citigroup__20240__sustainabilityreport,source::global-sustainability-report-2024-CITIGROUP.pdf
,publishes,company::r046_centene公司,report::r046_centene公司__20240__other
,matched_to_source,report::r046_centene公司__20240__other,source::Centene-Corporate-Responsibility-2024.pdf
,publishes,company::r047_jdcom,report::r047_jdcom__20240__other
,matched_to_source,report::r047_jdcom__20240__other,source::2024_京东集团股份有限公司ESG报告.pdf
,publishes,company::r048_homedepot,report::r048_homedepot__20240__other
,matched_to_source,report::r048_homedepot__20240__other,source::2024_ESG_Report_The_Home_Depot.pdf
,publishes,company::r050_marathonpetroleum,report::r050_marathonpetroleum__20240__sustainabilityreport
,matched_to_source,report::r050_marathonpetroleum__20240__sustainabilityreport,source::2024_SustainabilityReport-MARATHON PETROLEUM.pdf
,publishes,company::r052_phillips66公司,report::r052_phillips66公司__20250__sustainabilityreport
,matched_to_source,report::r052_phillips66公司__20250__sustainabilityreport,source::PHILLIPS 66-2025-0023_3_Sustainability and People Report_DIGITAL 0623.pdf
,publishes,company::r054_sinochemholdings,report::r054_sinochemholdings__20240__other
,matched_to_source,report::r054_sinochemholdings__20240__other,source::2024中国中化控股有限责任公司ESG报告.pdf
,publishes,company::r055_chinamobilecommunications,report::r055_chinamobilecommunications__20240__sustainabilityreport
,matched_to_source,report::r055_chinamobilecommunications__20240__sustainabilityreport,source::2024-中国移动通信集团有限公司可持续发展报告.pdf
,publishes,company::r060_walgreensbootsalliance,report::r060_walgreensbootsalliance__20240__impactreport
,matched_to_source,report::r060_walgreensbootsalliance__20240__impactreport,source::WALGREENS BOOTS ALLIANCE-Impact-Report-2024.pdf
,publishes,company::r061_valeroenergy,report::r061_valeroenergy__20240__esgreport
,matched_to_source,report::r061_valeroenergy__20240__esgreport,source::VALERO ENERGY-2024 ESG Report 0823 FINAL pages.pdf
,publishes,company::r062_bancosantander,report::r062_bancosantander__20240__other
,matched_to_source,report::r062_bancosantander__20240__other,source::BANCO SANTANDER-estado-sostenibilidad-2024-es.pdf
,publishes,company::r063_chinacommunicationsconstruction,report::r063_chinacommunicationsconstruction__20240__other
,matched_to_source,report::r063_chinacommunicationsconstruction__20240__other,source::中国交通建设股份有限公司2024 年度环境、社会及管治报告.pdf
,publishes,company::r065_mitsubishi,report::r065_mitsubishi__20240__esgreport
,matched_to_source,report::r065_mitsubishi__20240__esgreport,source::MITSUBISHI-ESG-2024.pdf
,publishes,company::r067_hsbcholdings,report::r067_hsbcholdings__20240__annualreport
,matched_to_source,report::r067_hsbcholdings__20240__annualreport,source::HSBC HOLDINGS-250219-annual-report-and-accounts-2024.pdf
,publishes,company::r070_alibabagroupholding,report::r070_alibabagroupholding__20250__esgreport
,matched_to_source,report::r070_alibabagroupholding__20250__esgreport,source::2025 阿里巴巴环境、社会和治理（ESG）报告.pdf
,publishes,company::r071_citicgroup,report::r071_citicgroup__20240__other
,matched_to_source,report::r071_citicgroup__20240__other,source::2024中国中信集团有限公司环境、社会及管治报告.pdf
,publishes,company::r072_chinaresources,report::r072_chinaresources__20240__sustainabilityreport
,matched_to_source,report::r072_chinaresources__20240__sustainabilityreport,source::2024-中国华润有限公司可持续发展报告.pdf
,publishes,company::r073_hyundaimotor,report::r073_hyundaimotor__20250__sustainabilityreport
,matched_to_source,report::r073_hyundaimotor__20250__sustainabilityreport,source::HYUNDAI MOTOR-hmc-2025-sustainability-report-en-v13.pdf
,publishes,company::r074_atandt,report::r074_atandt__20240__sustainabilityreport
,matched_to_source,report::r074_atandt__20240__sustainabilityreport,source::2024-AT&T-sustainability-report.pdf
,publishes,company::r077_deutschetelekom,report::r077_deutschetelekom__20220__other
,matched_to_source,report::r077_deutschetelekom__20220__other,source::DEUTSCHE TELEKOM-cr_en_2022_dt_final.pdf
,classified_as,company::r036_fordmotor,industry::C
,classified_as,company::r037_bankofchina,industry::J
,classified_as,company::r041_bmwgroup,industry::C
,classified_as,company::r042_mercedesbenzgroup,industry::C
,classified_as,company::r044_chinabaowusteelgroup,industry::C
,classified_as,company::r045_citigroup,industry::J
,classified_as,company::r046_centene公司,industry::J
,classified_as,company::r047_jdcom,industry::F
,classified_as,company::r048_homedepot,industry::F
,classified_as,company::r050_marathonpetroleum,industry::D
,classified_as,company::r052_phillips66公司,industry::D
,classified_as,company::r054_sinochemholdings,industry::C
,classified_as,company::r055_chinamobilecommunications,industry::I
,classified_as,company::r060_walgreensbootsalliance,industry::F
,classified_as,company::r061_valeroenergy,industry::D
,classified_as,company::r062_bancosantander,industry::J
,classified_as,company::r063_chinacommunicationsconstruction,industry::E
,classified_as,company::r065_mitsubishi,industry::L
,classified_as,company::r067_hsbcholdings,industry::J
,classified_as,company::r070_alibabagroupholding,industry::F
,classified_as,company::r071_citicgroup,industry::J
,classified_as,company::r072_chinaresources,industry::J
,classified_as,company::r073_hyundaimotor,industry::C
,classified_as,company::r074_atandt,industry::I
,classified_as,company::r077_deutschetelekom,industry::I
4,documents_standard_reference,report::r036_fordmotor__20250__sustainabilityreport,standard_ref::batch_02__r036_fordmotor__20250__sustainabilityreport__gri
,references_standard,standard_ref::batch_02__r036_fordmotor__20250__sustainabilityreport__gri,standard::GRI
,belongs_to_standard_family,standard_ref::batch_02__r036_fordmotor__20250__sustainabilityreport__gri,standard_family::ESG disclosure framework
,has_standard_role,standard_ref::batch_02__r036_fordmotor__20250__sustainabilityreport__gri,standard_role::Disclosure standard
4,documents_standard_reference,report::r036_fordmotor__20250__sustainabilityreport,standard_ref::batch_02__r036_fordmotor__20250__sustainabilityreport__sasb
,references_standard,standard_ref::batch_02__r036_fordmotor__20250__sustainabilityreport__sasb,standard::SASB
