activity_category_en,assurance_stage_en,calculation_method_en,company_id,company_name_en,company_name_zh,data_source_type_en,evidence_page,gbt4754_section_code,gbt4754_section_name_en,gbt4754_section_name_zh,label,match_status,node_id,node_type,page_count,report_id,review_status,scope_en,source_file,standard_name_en,world500_rank
,,,r487_heineken,HEINEKEN,喜力公司,,,,,,喜力公司,,company::r487_heineken,Company,,,,,,,487
,,,,,,,,,,,r487_heineken__20240__annualreport,matched_auto_high,report::r487_heineken__20240__annualreport,Report,307,r487_heineken__20240__annualreport,,,heineken_n_v_annual_report_2024_final_20feb2025.pdf,,
,,,,,,,,,,,heineken_n_v_annual_report_2024_final_20feb2025.pdf,,source::heineken_n_v_annual_report_2024_final_20feb2025.pdf,SourceFile,,,,,heineken_n_v_annual_report_2024_final_20feb2025.pdf,,
,,,r492_emiratesgroup,EMIRATES GROUP,阿联酋航空集团,,,,,,阿联酋航空集团,,company::r492_emiratesgroup,Company,,,,,,,492
,,,,,,,,,,,r492_emiratesgroup__20230__annualreport,matched_auto_high,report::r492_emiratesgroup__20230__annualreport,Report,239,r492_emiratesgroup__20230__annualreport,,,2023-2024-EMIRATES GROUP-annual-report.pdf,,
,,,,,,,,,,,2023-2024-EMIRATES GROUP-annual-report.pdf,,source::2023-2024-EMIRATES GROUP-annual-report.pdf,SourceFile,,,,,2023-2024-EMIRATES GROUP-annual-report.pdf,,
,,,r494_metro,METRO,麦德龙,,,,,,麦德龙,,company::r494_metro,Company,,,,,,,494
,,,,,,,,,,,r494_metro__nan__other,matched_auto_high,report::r494_metro__nan__other,Report,181,r494_metro__nan__other,,,entire-metro-ar24.pdf,,
,,,,,,,,,,,entire-metro-ar24.pdf,,source::entire-metro-ar24.pdf,SourceFile,,,,,entire-metro-ar24.pdf,,
,,,r495_subaru,SUBARU,斯巴鲁公司,,,,,,斯巴鲁公司,,company::r495_subaru,Company,,,,,,,495
,,,,,,,,,,,r495_subaru__20250__integratedreport,matched_auto_high,report::r495_subaru__20250__integratedreport,Report,52,r495_subaru__20250__integratedreport,,,2025 SUBARU integrated report.pdf,,
,,,,,,,,,,,2025 SUBARU integrated report.pdf,,source::2025 SUBARU integrated report.pdf,SourceFile,,,,,2025 SUBARU integrated report.pdf,,
,,,r022_industrialandcommercialbankofchina,INDUSTRIAL & COMMERCIAL BANK OF CHINA,中国工商银行股份有限公司,,,,,,中国工商银行股份有限公司,,company::r022_industrialandcommercialbankofchina,Company,,,,,,,22
,,,,,,,,,,,r022_industrialandcommercialbankofchina__20240__sustainabilityreport,matched_manual,report::r022_industrialandcommercialbankofchina__20240__sustainabilityreport,Report,85,r022_industrialandcommercialbankofchina__20240__sustainabilityreport,,,ICBC_2024_Sustainability_Report.pdf,,
,,,,,,,,,,,ICBC_2024_Sustainability_Report.pdf,,source::ICBC_2024_Sustainability_Report.pdf,SourceFile,,,,,ICBC_2024_Sustainability_Report.pdf,,
,,,r030_chinaconstructionbank,CHINA CONSTRUCTION BANK,中国建设银行股份有限公司,,,,,,中国建设银行股份有限公司,,company::r030_chinaconstructionbank,Company,,,,,,,30
,,,,,,,,,,,r030_chinaconstructionbank__20240__sustainabilityreport,matched_manual,report::r030_chinaconstructionbank__20240__sustainabilityreport,Report,156,r030_chinaconstructionbank__20240__sustainabilityreport,,,CCB_2024_Sustainability_Report.pdf,,
,,,,,,,,,,,CCB_2024_Sustainability_Report.pdf,,source::CCB_2024_Sustainability_Report.pdf,SourceFile,,,,,CCB_2024_Sustainability_Report.pdf,,
,,,r039_generalmotors,GENERAL MOTORS,通用汽车公司,,,,,,通用汽车公司,,company::r039_generalmotors,Company,,,,,,,39
,,,,,,,,,,,r039_generalmotors__20230__other,matched_manual,report::r039_generalmotors__20230__other,Report,84,r039_generalmotors__20230__other,,,GM_2023_SR.pdf,,
,,,,,,,,,,,GM_2023_SR.pdf,,source::GM_2023_SR.pdf,SourceFile,,,,,GM_2023_SR.pdf,,
,,,r049_electricitédefrance,ELECTRICITÉ DE FRANCE,法国电力公司,,,,,,法国电力公司,,company::r049_electricitédefrance,Company,,,,,,,49
,,,,,,,,,,,r049_electricitédefrance__20240__annualreport,matched_manual,report::r049_electricitédefrance__20240__annualreport,Report,679,r049_electricitédefrance__20240__annualreport,,,edf-urd-annual-financial-report-2024-en-accessible.pdf,,
,,,,,,,,,,,edf-urd-annual-financial-report-2024-en-accessible.pdf,,source::edf-urd-annual-financial-report-2024-en-accessible.pdf,SourceFile,,,,,edf-urd-annual-financial-report-2024-en-accessible.pdf,,
,,,r053_pinganinsurance,PING AN INSURANCE,中国平安保险（集团）股份有限公司,,,,,,中国平安保险（集团）股份有限公司,,company::r053_pinganinsurance,Company,,,,,,,53
,,,,,,,,,,,r053_pinganinsurance__20240__sustainabilityreport,matched_manual,report::r053_pinganinsurance__20240__sustainabilityreport,Report,190,r053_pinganinsurance__20240__sustainabilityreport,,,2024中国平安可持续报告.pdf,,
,,,,,,,,,,,2024中国平安可持续报告.pdf,,source::2024中国平安可持续报告.pdf,SourceFile,,,,,2024中国平安可持续报告.pdf,,
,,,r056_chinanationaloffshoreoil,CHINA NATIONAL OFFSHORE OIL,中国海洋石油集团有限公司,,,,,,中国海洋石油集团有限公司,,company::r056_chinanationaloffshoreoil,Company,,,,,,,56
,,,,,,,,,,,r056_chinanationaloffshoreoil__20240__other,matched_manual,report::r056_chinanationaloffshoreoil__20240__other,Report,68,r056_chinanationaloffshoreoil__20240__other,,,CNOOC_Group_2024_Social_Responsibility_Report.pdf,,
,,,,,,,,,,,CNOOC_Group_2024_Social_Responsibility_Report.pdf,,source::CNOOC_Group_2024_Social_Responsibility_Report.pdf,SourceFile,,,,,CNOOC_Group_2024_Social_Responsibility_Report.pdf,,
,,,r069_chinaminmetals,CHINA MINMETALS,中国五矿集团有限公司,,,,,,中国五矿集团有限公司,,company::r069_chinaminmetals,Company,,,,,,,69
,,,,,,,,,,,r069_chinaminmetals__nan__other,matched_manual,report::r069_chinaminmetals__nan__other,Report,57,r069_chinaminmetals__nan__other,,,34033037.pdf,,
,,,,,,,,,,,34033037.pdf,,source::34033037.pdf,SourceFile,,,,,34033037.pdf,,
,,,r078_chinasouthernpowergrid,CHINA SOUTHERN POWER GRID,中国南方电网有限责任公司,,,,,,中国南方电网有限责任公司,,company::r078_chinasouthernpowergrid,Company,,,,,,,78
,,,,,,,,,,,r078_chinasouthernpowergrid__nan__other,matched_manual,report::r078_chinasouthernpowergrid__nan__other,Report,51,r078_chinasouthernpowergrid__nan__other,,,34056978.pdf,,
,,,,,,,,,,,34056978.pdf,,source::34056978.pdf,SourceFile,,,,,34056978.pdf,,
,,,r114_royalaholddelhaize,ROYAL AHOLD DELHAIZE,皇家阿霍德德尔海兹集团,,,,,,皇家阿霍德德尔海兹集团,,company::r114_royalaholddelhaize,Company,,,,,,,114
,,,,,,,,,,,r114_royalaholddelhaize__20240__annualreport,matched_manual,report::r114_royalaholddelhaize__20240__annualreport,Report,382,r114_royalaholddelhaize__20240__annualreport,,,Ahold_Delhaize_Annual_Report_2024.pdf,,
,,,,,,,,,,,Ahold_Delhaize_Annual_Report_2024.pdf,,source::Ahold_Delhaize_Annual_Report_2024.pdf,SourceFile,,,,,Ahold_Delhaize_Annual_Report_2024.pdf,,
,,,r149_procterandgamble,PROCTER & GAMBLE,宝洁公司,,,,,,宝洁公司,,company::r149_procterandgamble,Company,,,,,,,149
,,,,,,,,,,,r149_procterandgamble__20240__annualreport,matched_manual,report::r149_procterandgamble__20240__annualreport,Report,92,r149_procterandgamble__20240__annualreport,,,PG_2024_Annual_Report.pdf,,
,,,,,,,,,,,PG_2024_Annual_Report.pdf,,source::PG_2024_Annual_Report.pdf,SourceFile,,,,,PG_2024_Annual_Report.pdf,,
,,,r156_uspostalservice,U.S. POSTAL SERVICE,美国邮政,,,,,,美国邮政,,company::r156_uspostalservice,Company,,,,,,,156
,,,,,,,,,,,r156_uspostalservice__20240__impactreport,matched_manual,report::r156_uspostalservice__20240__impactreport,Report,16,r156_uspostalservice__20240__impactreport,,,usps-impact-report-2024.pdf,,
,,,,,,,,,,,usps-impact-report-2024.pdf,,source::usps-impact-report-2024.pdf,SourceFile,,,,,usps-impact-report-2024.pdf,,
,,,r181_guangzhouautomobileindustrygroup,GUANGZHOU AUTOMOBILE INDUSTRY GROUP,广州汽车工业集团有限公司,,,,,,广州汽车工业集团有限公司,,company::r181_guangzhouautomobileindustrygroup,Company,,,,,,,181
,,,,,,,,,,,r181_guangzhouautomobileindustrygroup__20240__other,matched_manual,report::r181_guangzhouautomobileindustrygroup__20240__other,Report,166,r181_guangzhouautomobileindustrygroup__20240__other,,,广汽集团2024年社会责任报告.pdf,,
,,,,,,,,,,,广汽集团2024年社会责任报告.pdf,,source::广汽集团2024年社会责任报告.pdf,SourceFile,,,,,广汽集团2024年社会责任报告.pdf,,
,,,r201_koreaelectricpower,KOREA ELECTRIC POWER,韩国电力公司,,,,,,韩国电力公司,,company::r201_koreaelectricpower,Company,,,,,,,201
,,,,,,,,,,,r201_koreaelectricpower__20240__sustainabilityreport,matched_manual,report::r201_koreaelectricpower__20240__sustainabilityreport,Report,189,r201_koreaelectricpower__20240__sustainabilityreport,,,(KEPCO)2024SustainabilityReport_Eng.pdf,,
,,,,,,,,,,,(KEPCO)2024SustainabilityReport_Eng.pdf,,source::(KEPCO)2024SustainabilityReport_Eng.pdf,SourceFile,,,,,(KEPCO)2024SustainabilityReport_Eng.pdf,,
,,,r220_nipponsteelcorporation,NIPPON STEEL CORPORATION,日本制铁集团公司,,,,,,日本制铁集团公司,,company::r220_nipponsteelcorporation,Company,,,,,,,220
,,,,,,,,,,,r220_nipponsteelcorporation__20230__sustainabilityreport,matched_manual,report::r220_nipponsteelcorporation__20230__sustainabilityreport,Report,34,r220_nipponsteelcorporation__20230__sustainabilityreport,,,NIPPON sustainability report2023en.pdf,,
,,,,,,,,,,,NIPPON sustainability report2023en.pdf,,source::NIPPON sustainability report2023en.pdf,SourceFile,,,,,NIPPON sustainability report2023en.pdf,,
,,,r250_contemporaryamperextechnology,CONTEMPORARY AMPEREX TECHNOLOGY,宁德时代新能源科技股份有限公司,,,,,,宁德时代新能源科技股份有限公司,,company::r250_contemporaryamperextechnology,Company,,,,,,,250
,,,,,,,,,,,r250_contemporaryamperextechnology__20240__other,matched_manual,report::r250_contemporaryamperextechnology__20240__other,Report,83,r250_contemporaryamperextechnology__20240__other,,,宁德时代2024年ESG报告.pdf,,
,,,,,,,,,,,宁德时代2024年ESG报告.pdf,,source::宁德时代2024年ESG报告.pdf,SourceFile,,,,,宁德时代2024年ESG报告.pdf,,
,,,r268_bhpgroup,BHP GROUP,必和必拓集团,,,,,,必和必拓集团,,company::r268_bhpgroup,Company,,,,,,,268
,,,,,,,,,,,r268_bhpgroup__20250__annualreport,matched_manual,report::r268_bhpgroup__20250__annualreport,Report,236,r268_bhpgroup__20250__annualreport,,,250819_bhpannualreport2025.pdf,,
,,,,,,,,,,,250819_bhpannualreport2025.pdf,,source::250819_bhpannualreport2025.pdf,SourceFile,,,,,250819_bhpannualreport2025.pdf,,
,,,r272_performancefoodgroup公司,Performance Food Group公司,Performance Food Group公司,,,,,,Performance Food Group公司,,company::r272_performancefoodgroup公司,Company,,,,,,,272
,,,,,,,,,,,r272_performancefoodgroup公司__20240__sustainabilityreport,matched_manual,report::r272_performancefoodgroup公司__20240__sustainabilityreport,Report,38,r272_performancefoodgroup公司__20240__sustainabilityreport,,,PFG_Sustainability-Report-2024_FINAL.pdf,,
,,,,,,,,,,,PFG_Sustainability-Report-2024_FINAL.pdf,,source::PFG_Sustainability-Report-2024_FINAL.pdf,SourceFile,,,,,PFG_Sustainability-Report-2024_FINAL.pdf,,
,,,r294_bankofmontreal,BANK OF MONTREAL,蒙特利尔银行,,,,,,蒙特利尔银行,,company::r294_bankofmontreal,Company,,,,,,,294
,,,,,,,,,,,r294_bankofmontreal__20240__other,matched_manual,report::r294_bankofmontreal__20240__other,Report,120,r294_bankofmontreal__20240__other,,,BMO_2024_SCR_EN_interactive.pdf,,
,,,,,,,,,,,BMO_2024_SCR_EN_interactive.pdf,,source::BMO_2024_SCR_EN_interactive.pdf,SourceFile,,,,,BMO_2024_SCR_EN_interactive.pdf,,
,,,r295_zffriedrichshafen,ZF FRIEDRICHSHAFEN,采埃孚,,,,,,采埃孚,,company::r295_zffriedrichshafen,Company,,,,,,,295
,,,,,,,,,,,r295_zffriedrichshafen__nan__annualreport,matched_manual,report::r295_zffriedrichshafen__nan__annualreport,Report,189,r295_zffriedrichshafen__nan__annualreport,,,ZF_AnnualReport24.pdf,,
,,,,,,,,,,,ZF_AnnualReport24.pdf,,source::ZF_AnnualReport24.pdf,SourceFile,,,,,ZF_AnnualReport24.pdf,,
,,,r345_raízen公司,Raízen公司,Raízen公司,,,,,,Raízen公司,,company::r345_raízen公司,Company,,,,,,,345
,,,,,,,,,,,r345_raízen公司__nan__other,matched_manual,report::r345_raízen公司__nan__other,Report,52,r345_raízen公司__nan__other,,,item-1338-raizen-rs24-25-en-d11.pdf,,
,,,,,,,,,,,item-1338-raizen-rs24-25-en-d11.pdf,,source::item-1338-raizen-rs24-25-en-d11.pdf,SourceFile,,,,,item-1338-raizen-rs24-25-en-d11.pdf,,
,,,r348_loréal,L'ORÉAL,欧莱雅,,,,,,欧莱雅,,company::r348_loréal,Company,,,,,,,348
,,,,,,,,,,,r348_loréal__20240__annualreport,matched_manual,report::r348_loréal__20240__annualreport,Report,19,r348_loréal__20240__annualreport,,,LOREAL2024AnnualReport.pdf,,
,,,,,,,,,,,LOREAL2024AnnualReport.pdf,,source::LOREAL2024AnnualReport.pdf,SourceFile,,,,,LOREAL2024AnnualReport.pdf,,
,,,,,,,,C,Manufacturing,制造业,C 制造业,,industry::C,IndustrySection,,,,,,,
,,,,,,,,G,"Transport, Storage and Post",交通运输、仓储和邮政业,G 交通运输、仓储和邮政业,,industry::G,IndustrySection,,,,,,,
,,,,,,,,F,Wholesale and Retail Trade,批发和零售业,F 批发和零售业,,industry::F,IndustrySection,,,,,,,
,,,,,,,,J,Finance,金融业,J 金融业,,industry::J,IndustrySection,,,,,,,
,,,,,,,,I,"Information Transmission, Software and Information Technology Services",电力、热力、燃气及水生产和供应业,I 电力、热力、燃气及水生产和供应业,,industry::I,IndustrySection,,,,,,,
,,,,,,,,B,Mining,采矿业,B 采矿业,,industry::B,IndustrySection,,,,,,,
,,,,,,,,D,"Electricity, Heat, Gas and Water Production and Supply",电力、热力、燃气及水生产和供应业,D 电力、热力、燃气及水生产和供应业,,industry::D,IndustrySection,,,,,,,
,,,,,,,,,,,ISO 14064,,standard::ISO 14064,Standard,,,,,,ISO 14064,
,,,,,,,73,,,,batch_11__r022_industrialandcommercialbankofchina__20240__sustainabilityreport__iso_14064,,standard_ref::batch_11__r022_industrialandcommercialbankofchina__20240__sustainabilityreport__iso_14064,StandardReference,,,seed_batch_11,,,,
,,,,,,,,,,,其他报告框架,,standard_family::Other reporting framework,StandardFamily,,,,,,,
,,,,,,,,,,,指引,,standard_role::Guideline,StandardRole,,,,,,,
,,,,,,,,,,,GRI,,standard::GRI,Standard,,,,,,GRI,
,,,,,,,76,,,,batch_11__r022_industrialandcommercialbankofchina__20240__sustainabilityreport__gri,,standard_ref::batch_11__r022_industrialandcommercialbankofchina__20240__sustainabilityreport__gri,StandardReference,,,seed_batch_11,,,,
,,,,,,,,,,,ESG披露框架,,standard_family::ESG disclosure framework,StandardFamily,,,,,,,
,,,,,,,,,,,披露标准,,standard_role::Disclosure standard,StandardRole,,,,,,,
,,,,,,,,,,,TCFD,,standard::TCFD,Standard,,,,,,TCFD,
,,,,,,,28,,,,batch_11__r030_chinaconstructionbank__20240__sustainabilityreport__tcfd,,standard_ref::batch_11__r030_chinaconstructionbank__20240__sustainabilityreport__tcfd,StandardReference,,,seed_batch_11,,,,
,,,,,,,,,,,气候信息披露框架,,standard_family::Climate disclosure framework,StandardFamily,,,,,,,
,,,,,,,,,,,披露建议,,standard_role::Disclosure recommendation,StandardRole,,,,,,,
,,,,,,,,,,,GHG Protocol,,standard::GHG Protocol,Standard,,,,,,GHG Protocol,
,,,,,,,54,,,,batch_11__r030_chinaconstructionbank__20240__sustainabilityreport__ghg_protocol,,standard_ref::batch_11__r030_chinaconstructionbank__20240__sustainabilityreport__ghg_protocol,StandardReference,,,seed_batch_11,,,,
,,,,,,,,,,,温室气体核算体系,,standard_family::GHG accounting system,StandardFamily,,,,,,,
,,,,,,,,,,,核算标准,,standard_role::Accounting standard,StandardRole,,,,,,,
,,,,,,,153,,,,batch_11__r030_chinaconstructionbank__20240__sustainabilityreport__gri,,standard_ref::batch_11__r030_chinaconstructionbank__20240__sustainabilityreport__gri,StandardReference,,,seed_batch_11,,,,
,,,,,,,,,,,SASB,,standard::SASB,Standard,,,,,,SASB,
,,,,,,,153,,,,batch_11__r030_chinaconstructionbank__20240__sustainabilityreport__sasb,,standard_ref::batch_11__r030_chinaconstructionbank__20240__sustainabilityreport__sasb,StandardReference,,,seed_batch_11,,,,
,,,,,,,,,,,行业披露框架,,standard_family::Industry disclosure framework,StandardFamily,,,,,,,
,,,,,,,,,,,披露指引,,standard_role::Disclosure guideline,StandardRole,,,,,,,
,,,,,,,2,,,,batch_11__r039_generalmotors__20230__other__gri,,standard_ref::batch_11__r039_generalmotors__20230__other__gri,StandardReference,,,seed_batch_11,,,,
,,,,,,,2,,,,batch_11__r039_generalmotors__20230__other__sasb,,standard_ref::batch_11__r039_generalmotors__20230__other__sasb,StandardReference,,,seed_batch_11,,,,
,,,,,,,9,,,,batch_11__r039_generalmotors__20230__other__ghg_protocol,,standard_ref::batch_11__r039_generalmotors__20230__other__ghg_protocol,StandardReference,,,seed_batch_11,,,,
,,,,,,,,,,,SBTi,,standard::SBTi,Standard,,,,,,SBTi,
,,,,,,,19,,,,batch_11__r039_generalmotors__20230__other__sbti,,standard_ref::batch_11__r039_generalmotors__20230__other__sbti,StandardReference,,,seed_batch_11,,,,
,,,,,,,,,,,气候目标治理体系,,standard_family::Climate target governance system,StandardFamily,,,,,,,
,,,,,,,,,,,目标审定指引,,standard_role::Target validation guideline,StandardRole,,,,,,,
,,,,,,,76,,,,batch_11__r039_generalmotors__20230__other__tcfd,,standard_ref::batch_11__r039_generalmotors__20230__other__tcfd,StandardReference,,,seed_batch_11,,,,
,,,,,,,,,,,ESRS/CSRD,,standard::ESRS/CSRD,Standard,,,,,,ESRS/CSRD,
,,,,,,,106,,,,batch_11__r049_electricitédefrance__20240__annualreport__esrs_csrd,,standard_ref::batch_11__r049_electricitédefrance__20240__annualreport__esrs_csrd,StandardReference,,,seed_batch_11,,,,
,,,,,,,,,,,欧盟可持续披露体系,,standard_family::EU sustainability disclosure regime,StandardFamily,,,,,,,
,,,,,,,143,,,,batch_11__r049_electricitédefrance__20240__annualreport__tcfd,,standard_ref::batch_11__r049_electricitédefrance__20240__annualreport__tcfd,StandardReference,,,seed_batch_11,,,,
,,,,,,,173,,,,batch_11__r049_electricitédefrance__20240__annualreport__gri,,standard_ref::batch_11__r049_electricitédefrance__20240__annualreport__gri,StandardReference,,,seed_batch_11,,,,
,,,,,,,173,,,,batch_11__r049_electricitédefrance__20240__annualreport__sasb,,standard_ref::batch_11__r049_electricitédefrance__20240__annualreport__sasb,StandardReference,,,seed_batch_11,,,,
,,,,,,,193,,,,batch_11__r049_electricitédefrance__20240__annualreport__ghg_protocol,,standard_ref::batch_11__r049_electricitédefrance__20240__annualreport__ghg_protocol,StandardReference,,,seed_batch_11,,,,
,,,,,,,207,,,,batch_11__r049_electricitédefrance__20240__annualreport__iso_14064,,standard_ref::batch_11__r049_electricitédefrance__20240__annualreport__iso_14064,StandardReference,,,seed_batch_11,,,,
,,,,,,,209,,,,batch_11__r049_electricitédefrance__20240__annualreport__sbti,,standard_ref::batch_11__r049_electricitédefrance__20240__annualreport__sbti,StandardReference,,,seed_batch_11,,,,
,,,,,,,3,,,,batch_11__r053_pinganinsurance__20240__sustainabilityreport__gri,,standard_ref::batch_11__r053_pinganinsurance__20240__sustainabilityreport__gri,StandardReference,,,seed_batch_11,,,,
,,,,,,,3,,,,batch_11__r053_pinganinsurance__20240__sustainabilityreport__sasb,,standard_ref::batch_11__r053_pinganinsurance__20240__sustainabilityreport__sasb,StandardReference,,,seed_batch_11,,,,
