confidence_level,evidence_page,relation,review_status,section_role,source,target,batch_id
,,publishes,,,company::r001_walmart,report::r001_walmart__20250__esgreport,batch_01
,,matched_to_source,,,report::r001_walmart__20250__esgreport,source::fy2025_walmart_esg_report_pdf,batch_01
,,publishes,,,company::r004_saudiaramco,report::r004_saudiaramco__20240__sustainabilityreport,batch_01
,,matched_to_source,,,report::r004_saudiaramco__20240__sustainabilityreport,source::2024_saudi_aramco_sustainability_report_full_en_pdf,batch_01
,,publishes,,,company::r007_apple,report::r007_apple__20250__other,batch_01
,,matched_to_source,,,report::r007_apple__20250__other,source::apple_environmental_progress_report_2025_pdf,batch_01
,,publishes,,,company::r008_unitedhealthgroup,report::r008_unitedhealthgroup__20240__sustainabilityreport,batch_01
,,matched_to_source,,,report::r008_unitedhealthgroup__20240__sustainabilityreport,source::unitedhealth_group_2024_sustainability_report_pdf,batch_01
,,publishes,,,company::r010_cvshealth公司,report::r010_cvshealth公司__20240__impactreport,batch_01
,,matched_to_source,,,report::r010_cvshealth公司__20240__impactreport,source::cvs_health_2024_impact_report_appendix_pdf,batch_01
,,publishes,,,company::r011_volkswagen,report::r011_volkswagen__20230__sustainabilityreport,batch_01
,,matched_to_source,,,report::r011_volkswagen__20230__sustainabilityreport,source::2023_volkswagen_group_sustainability_report_pdf,batch_01
,,publishes,,,company::r012_exxonmobil,report::r012_exxonmobil__20250__sustainabilityreport,batch_01
,,matched_to_source,,,report::r012_exxonmobil__20250__sustainabilityreport,source::exxon_mobil_sustainability_report_2025_pdf,batch_01
,,publishes,,,company::r013_shell,report::r013_shell__20240__annualreport,batch_01
,,matched_to_source,,,report::r013_shell__20240__annualreport,source::shell_annual_report_2024_pdf,batch_01
,,publishes,,,company::r014_chinastateconstructionengineering,report::r014_chinastateconstructionengineering__20240__other,batch_01
,,matched_to_source,,,report::r014_chinastateconstructionengineering__20240__other,source::2024中国建筑集团有限公司esg报告_pdf,batch_01
,,publishes,,,company::r015_toyotamotor,report::r015_toyotamotor__20240__integratedreport,batch_01
,,matched_to_source,,,report::r015_toyotamotor__20240__integratedreport,source::toyota_motor_2024_001_integrated_en_pdf,batch_01
,,publishes,,,company::r016_mckesson,report::r016_mckesson__20240__impactreport,batch_01
,,matched_to_source,,,report::r016_mckesson__20240__impactreport,source::mckesson_impact_report_2024_pdf,batch_01
,,publishes,,,company::r018_cencora公司,report::r018_cencora公司__20240__other,batch_01
,,matched_to_source,,,report::r018_cencora公司__20240__other,source::cencora_2024_ent_00435_crsummaryreport_fnl2_pdf,batch_01
,,publishes,,,company::r019_trafiguragroup,report::r019_trafiguragroup__20240__sustainabilityreport,batch_01
,,matched_to_source,,,report::r019_trafiguragroup__20240__sustainabilityreport,source::2024_trafigura_sustainability_report_pdf,batch_01
,,publishes,,,company::r020_costcowholesale,report::r020_costcowholesale__nan__climatereport,batch_01
,,matched_to_source,,,report::r020_costcowholesale__nan__climatereport,source::costco_wholesale_climateactionplan_fy24_pdf,batch_01
,,publishes,,,company::r021_jpmorganchase,report::r021_jpmorganchase__20240__climatereport,batch_01
,,matched_to_source,,,report::r021_jpmorganchase__20240__climatereport,source::jpmorgan_chase_climate_report_2024_pdf,batch_01
,,publishes,,,company::r023_totalenergies,report::r023_totalenergies__20250__sustainabilityreport,batch_01
,,matched_to_source,,,report::r023_totalenergies__20250__sustainabilityreport,source::totalenergies_sustainability_climate_2025_progress_report_2025_en_pdf,batch_01
,,publishes,,,company::r026_microsoft,report::r026_microsoft__20250__sustainabilityreport,batch_01
,,matched_to_source,,,report::r026_microsoft__20250__sustainabilityreport,source::2025_microsoft_environmental_sustainability_report_pdf_pdf,batch_01
,,publishes,,,company::r027_cardinalhealth,report::r027_cardinalhealth__nan__esgreport,batch_01
,,matched_to_source,,,report::r027_cardinalhealth__nan__esgreport,source::cardinal_health_fy24_esg_report_pdf,batch_01
,,publishes,,,company::r028_stellantis集团,report::r028_stellantis集团__20240__climatereport,batch_01
,,matched_to_source,,,report::r028_stellantis集团__20240__climatereport,source::stellantis_2024_climate_policy_report_pdf,batch_01
,,publishes,,,company::r029_chevron,report::r029_chevron__20240__sustainabilityreport,batch_01
,,matched_to_source,,,report::r029_chevron__20240__sustainabilityreport,source::chevron_sustainability_highlights_2024_pdf,batch_01
,,publishes,,,company::r031_samsungelectronics,report::r031_samsungelectronics__20240__sustainabilityreport,batch_01
,,matched_to_source,,,report::r031_samsungelectronics__20240__sustainabilityreport,source::samsung_electronics_sustainability_report_2024_en_pdf,batch_01
,,publishes,,,company::r032_honhaiprecisionindustry,report::r032_honhaiprecisionindustry__20240__other,batch_01
,,matched_to_source,,,report::r032_honhaiprecisionindustry__20240__other,source::鸿海精密工业股份有限公司2024_中文完整版_pdf,batch_01
,,publishes,,,company::r033_cignagroup,report::r033_cignagroup__20240__impactreport,batch_01
,,matched_to_source,,,report::r033_cignagroup__20240__impactreport,source::2024_corporate_impact_report_cigna_group_pdf,batch_01
,,publishes,,,company::r034_agriculturalbankofchina,report::r034_agriculturalbankofchina__20240__sustainabilityreport,batch_01
,,matched_to_source,,,report::r034_agriculturalbankofchina__20240__sustainabilityreport,source::2024_中国农业银行股份有限公司可持续发展报告_pdf,batch_01
,,publishes,,,company::r035_chinarailwayengineeringgroup,report::r035_chinarailwayengineeringgroup__20210__other,batch_01
,,matched_to_source,,,report::r035_chinarailwayengineeringgroup__20210__other,source::2021中国铁路工程集团有限公司esg报告_pdf,batch_01
,,classified_as_industry_section,,primary,company::r007_apple,industry::c,batch_01
,,classified_as_industry_section,,primary,company::r011_volkswagen,industry::c,batch_01
,,classified_as_industry_section,,primary,company::r014_chinastateconstructionengineering,industry::e,batch_01
,,classified_as_industry_section,,primary,company::r015_toyotamotor,industry::c,batch_01
,,classified_as_industry_section,,primary,company::r016_mckesson,industry::f,batch_01
,,classified_as_industry_section,,primary,company::r018_cencora公司,industry::f,batch_01
,,classified_as_industry_section,,primary,company::r021_jpmorganchase,industry::j,batch_01
,,classified_as_industry_section,,primary,company::r027_cardinalhealth,industry::f,batch_01
,,classified_as_industry_section,,primary,company::r028_stellantis集团,industry::c,batch_01
