activity_category_en,assurance_stage_en,calculation_method_en,company_id,company_name_en,company_name_zh,data_source_type_en,evidence_page,gbt4754_section_code,gbt4754_section_name_en,gbt4754_section_name_zh,label,match_status,node_id,node_type,page_count,report_id,review_status,scope_en,source_file,standard_name_en,world500_rank,batch_id
,,,r001_walmart,WALMART,沃尔玛,,,,,,沃尔玛,,company::r001_walmart,Company,,,,,,,1,batch_01
,,,,,,,,,,,r001_walmart__20250__esgreport,matched_auto_high,report::r001_walmart__20250__esgreport,Report,113,r001_walmart__20250__esgreport,,,FY2025-Walmart-ESG-Report.pdf,,,batch_01
,,,,,,,,,,,FY2025-Walmart-ESG-Report.pdf,,source::FY2025-Walmart-ESG-Report.pdf,SourceFile,,,,,FY2025-Walmart-ESG-Report.pdf,,,batch_01
,,,r004_saudiaramco,SAUDI ARAMCO,沙特阿美公司,,,,,,沙特阿美公司,,company::r004_saudiaramco,Company,,,,,,,4,batch_01
,,,,,,,,,,,r004_saudiaramco__20240__sustainabilityreport,matched_auto_high,report::r004_saudiaramco__20240__sustainabilityreport,Report,71,r004_saudiaramco__20240__sustainabilityreport,,,2024-saudi-aramco-sustainability-report-full-en.pdf,,,batch_01
,,,,,,,,,,,2024-saudi-aramco-sustainability-report-full-en.pdf,,source::2024-saudi-aramco-sustainability-report-full-en.pdf,SourceFile,,,,,2024-saudi-aramco-sustainability-report-full-en.pdf,,,batch_01
,,,r007_apple,APPLE,苹果公司,,,,,,苹果公司,,company::r007_apple,Company,,,,,,,7,batch_01
,,,,,,,,,,,r007_apple__20250__other,matched_auto_high,report::r007_apple__20250__other,Report,126,r007_apple__20250__other,,,Apple_Environmental_Progress_Report_2025.pdf,,,batch_01
,,,,,,,,,,,Apple_Environmental_Progress_Report_2025.pdf,,source::Apple_Environmental_Progress_Report_2025.pdf,SourceFile,,,,,Apple_Environmental_Progress_Report_2025.pdf,,,batch_01
,,,r008_unitedhealthgroup,UNITEDHEALTH GROUP,联合健康集团,,,,,,联合健康集团,,company::r008_unitedhealthgroup,Company,,,,,,,8,batch_01
,,,,,,,,,,,r008_unitedhealthgroup__20240__sustainabilityreport,matched_auto_high,report::r008_unitedhealthgroup__20240__sustainabilityreport,Report,87,r008_unitedhealthgroup__20240__sustainabilityreport,,,UNITEDHEALTH GROUP—2024-sustainability-report.pdf,,,batch_01
,,,,,,,,,,,UNITEDHEALTH GROUP—2024-sustainability-report.pdf,,source::UNITEDHEALTH GROUP—2024-sustainability-report.pdf,SourceFile,,,,,UNITEDHEALTH GROUP—2024-sustainability-report.pdf,,,batch_01
,,,r010_cvshealth公司,CVS Health公司,CVS Health公司,,,,,,CVS Health公司,,company::r010_cvshealth公司,Company,,,,,,,10,batch_01
,,,,,,,,,,,r010_cvshealth公司__20240__impactreport,matched_auto_high,report::r010_cvshealth公司__20240__impactreport,Report,98,r010_cvshealth公司__20240__impactreport,,,CVS Health-2024-Impact-Report-Appendix.pdf,,,batch_01
,,,,,,,,,,,CVS Health-2024-Impact-Report-Appendix.pdf,,source::CVS Health-2024-Impact-Report-Appendix.pdf,SourceFile,,,,,CVS Health-2024-Impact-Report-Appendix.pdf,,,batch_01
,,,r011_volkswagen,VOLKSWAGEN,大众公司,,,,,,大众公司,,company::r011_volkswagen,Company,,,,,,,11,batch_01
,,,,,,,,,,,r011_volkswagen__20230__sustainabilityreport,matched_auto_high,report::r011_volkswagen__20230__sustainabilityreport,Report,136,r011_volkswagen__20230__sustainabilityreport,,,2023_Volkswagen_Group_Sustainability_Report.pdf,,,batch_01
,,,,,,,,,,,2023_Volkswagen_Group_Sustainability_Report.pdf,,source::2023_Volkswagen_Group_Sustainability_Report.pdf,SourceFile,,,,,2023_Volkswagen_Group_Sustainability_Report.pdf,,,batch_01
,,,r012_exxonmobil,EXXON MOBIL,埃克森美孚,,,,,,埃克森美孚,,company::r012_exxonmobil,Company,,,,,,,12,batch_01
,,,,,,,,,,,r012_exxonmobil__20250__sustainabilityreport,matched_auto_high,report::r012_exxonmobil__20250__sustainabilityreport,Report,72,r012_exxonmobil__20250__sustainabilityreport,,,EXXON MOBIL-sustainability-report-2025.pdf,,,batch_01
,,,,,,,,,,,EXXON MOBIL-sustainability-report-2025.pdf,,source::EXXON MOBIL-sustainability-report-2025.pdf,SourceFile,,,,,EXXON MOBIL-sustainability-report-2025.pdf,,,batch_01
,,,r013_shell,SHELL,壳牌公司,,,,,,壳牌公司,,company::r013_shell,Company,,,,,,,13,batch_01
,,,,,,,,,,,r013_shell__20240__annualreport,matched_auto_high,report::r013_shell__20240__annualreport,Report,481,r013_shell__20240__annualreport,,,shell-annual-report-2024.pdf,,,batch_01
,,,,,,,,,,,shell-annual-report-2024.pdf,,source::shell-annual-report-2024.pdf,SourceFile,,,,,shell-annual-report-2024.pdf,,,batch_01
,,,r014_chinastateconstructionengineering,CHINA STATE CONSTRUCTION ENGINEERING,中国建筑集团有限公司,,,,,,中国建筑集团有限公司,,company::r014_chinastateconstructionengineering,Company,,,,,,,14,batch_01
,,,,,,,,,,,r014_chinastateconstructionengineering__20240__other,matched_auto_high,report::r014_chinastateconstructionengineering__20240__other,Report,50,r014_chinastateconstructionengineering__20240__other,,,2024中国建筑集团有限公司ESG报告.pdf,,,batch_01
,,,,,,,,,,,2024中国建筑集团有限公司ESG报告.pdf,,source::2024中国建筑集团有限公司ESG报告.pdf,SourceFile,,,,,2024中国建筑集团有限公司ESG报告.pdf,,,batch_01
,,,r015_toyotamotor,TOYOTA MOTOR,丰田汽车公司,,,,,,丰田汽车公司,,company::r015_toyotamotor,Company,,,,,,,15,batch_01
,,,,,,,,,,,r015_toyotamotor__20240__integratedreport,matched_auto_high,report::r015_toyotamotor__20240__integratedreport,Report,138,r015_toyotamotor__20240__integratedreport,,,TOYOTA MOTOR_2024_001_integrated_en.pdf,,,batch_01
,,,,,,,,,,,TOYOTA MOTOR_2024_001_integrated_en.pdf,,source::TOYOTA MOTOR_2024_001_integrated_en.pdf,SourceFile,,,,,TOYOTA MOTOR_2024_001_integrated_en.pdf,,,batch_01
,,,r016_mckesson,MCKESSON,麦克森公司,,,,,,麦克森公司,,company::r016_mckesson,Company,,,,,,,16,batch_01
,,,,,,,,,,,r016_mckesson__20240__impactreport,matched_auto_high,report::r016_mckesson__20240__impactreport,Report,71,r016_mckesson__20240__impactreport,,,McKesson Impact Report 2024.pdf,,,batch_01
,,,,,,,,,,,McKesson Impact Report 2024.pdf,,source::McKesson Impact Report 2024.pdf,SourceFile,,,,,McKesson Impact Report 2024.pdf,,,batch_01
,,,r018_cencora公司,Cencora公司,Cencora公司,,,,,,Cencora公司,,company::r018_cencora公司,Company,,,,,,,18,batch_01
,,,,,,,,,,,r018_cencora公司__20240__other,matched_auto_high,report::r018_cencora公司__20240__other,Report,22,r018_cencora公司__20240__other,,,Cencora-2024-ent-00435-crsummaryreport-fnl2.pdf,,,batch_01
