industry_section_code,industry_section_name_zh,industry_section_name_en,gb_standard,level,appears_in_published_graph,published_company_count,accepted_standard_company_count,complete_emissions_company_count,available_emissions_company_count,missing_emissions_company_count
A,农、林、牧、渔业,"Agriculture, Forestry, Animal Husbandry and Fishery",GB/T 4754-2017,section,false,0,0,0,0,0
B,采矿业,Mining,GB/T 4754-2017,section,true,13,7,2,6,11
C,制造业,Manufacturing,GB/T 4754-2017,section,true,119,46,5,28,114
D,电力、热力、燃气及水生产和供应业,"Electricity, Heat, Gas and Water Production and Supply",GB/T 4754-2017,section,true,32,13,2,12,30
E,建筑业,Construction,GB/T 4754-2017,section,true,11,2,0,2,11
F,批发和零售业,Wholesale and Retail Trade,GB/T 4754-2017,section,true,42,11,8,15,34
G,交通运输、仓储和邮政业,"Transport, Storage and Post",GB/T 4754-2017,section,true,12,4,3,4,9
H,住宿和餐饮业,Accommodation and Catering,GB/T 4754-2017,section,true,2,0,0,1,2
I,信息传输、软件和信息技术服务业,"Information Transmission, Software and Information Technology Services",GB/T 4754-2017,section,true,23,7,1,5,22
J,金融业,Finance,GB/T 4754-2017,section,true,82,47,5,15,77
K,房地产业,Real Estate,GB/T 4754-2017,section,true,1,0,0,1,1
L,租赁和商务服务业,Leasing and Business Services,GB/T 4754-2017,section,true,10,3,0,0,10
M,科学研究和技术服务业,Scientific Research and Technical Services,GB/T 4754-2017,section,false,0,0,0,0,0
N,水利、环境和公共设施管理业,"Water, Environment and Public Facilities Management",GB/T 4754-2017,section,false,0,0,0,0,0
O,居民服务、修理和其他服务业,"Resident Services, Repairs and Other Services",GB/T 4754-2017,section,false,0,0,0,0,0
P,教育,Education,GB/T 4754-2017,section,false,0,0,0,0,0
Q,卫生和社会工作,Health and Social Work,GB/T 4754-2017,section,false,0,0,0,0,0
R,文化、体育和娱乐业,"Culture, Sports and Entertainment",GB/T 4754-2017,section,true,3,3,1,2,2
S,公共管理、社会保障和社会组织,"Public Administration, Social Security and Social Organizations",GB/T 4754-2017,section,true,1,0,0,0,1
T,国际组织,International Organizations,GB/T 4754-2017,section,false,0,0,0,0,0
