fact_type,direct_use,company_id,company_name_en,company_name_zh,world500_rank,scope_en,scope_zh,scope3_category_code,scope3_category_en,scope3_category_zh,basis_en,basis_zh,boundary_en,boundary_zh,value_text,unit_raw,value_mtco2e,acceptance_tier_code,acceptance_tier_en,acceptance_tier_zh,verification_status,verification_reason_en,verification_reason_zh,candidate_quality,priority_level_en,source_layer,source_kind,binding_mode,evidence_page,source_file,source_path,report_title,extraction_rule_en,extraction_rule_zh,snippet_en,snippet_zh
scope_direct_use,True,r001_walmart,WALMART,沃尔玛,1,Scope 1,范围 1,,,,,,,,,,9.03,A1,A1 structured company-level absolute value; directly usable,A1 公司级结构化绝对量，可直接使用,validated_demo,,,,,authoritative_structured,,,106,FY2025-Walmart-ESG-Report.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\世界500强10份\世界500强10份\FY2025-Walmart-ESG-Report.pdf,Walmart ESG Report FY2025,MMT CO2e; CY2024 values in FY2025 ESG report.,MMT CO2e; CY2024 values in FY2025 ESG report.,MMT CO2e; CY2024 values in FY2025 ESG report.,MMT CO2e; CY2024 values in FY2025 ESG report.
scope_direct_use,True,r001_walmart,WALMART,沃尔玛,1,Scope 2,范围 2,,,,Market-Based,市场法,,,,,6.61,A1,A1 structured company-level absolute value; directly usable,A1 公司级结构化绝对量，可直接使用,validated_demo,,,,,authoritative_structured,,,106,FY2025-Walmart-ESG-Report.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\世界500强10份\世界500强10份\FY2025-Walmart-ESG-Report.pdf,Walmart ESG Report FY2025,MMT CO2e; market-based.,MMT CO2e; market-based.,MMT CO2e; market-based.,MMT CO2e; market-based.
scope_direct_use,True,r001_walmart,WALMART,沃尔玛,1,Scope 3,范围 3,,,,,,,,,,636.57,A1,A1 structured company-level absolute value; directly usable,A1 公司级结构化绝对量，可直接使用,validated_demo,,,,,authoritative_structured,,,106,FY2025-Walmart-ESG-Report.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\世界500强10份\世界500强10份\FY2025-Walmart-ESG-Report.pdf,Walmart ESG Report FY2025,MMT CO2e; estimated Scope 3 footprint.,MMT CO2e; estimated Scope 3 footprint.,MMT CO2e; estimated Scope 3 footprint.,MMT CO2e; estimated Scope 3 footprint.
scope_direct_use,True,r002_amazoncom,AMAZON.COM,亚马逊,2,Scope 1,范围 1,,,,,,,,,,15.13,A1,A1 structured company-level absolute value; directly usable,A1 公司级结构化绝对量，可直接使用,validated_demo,,,,,authoritative_structured,,,50,2024-amazon-sustainability-report.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\世界500强10份\世界500强10份\2024-amazon-sustainability-report.pdf,2024 Amazon Sustainability Report,MMT CO2e; direct operations.,MMT CO2e; direct operations.,MMT CO2e; direct operations.,MMT CO2e; direct operations.
scope_direct_use,True,r002_amazoncom,AMAZON.COM,亚马逊,2,Scope 2,范围 2,,,,Market-Based,市场法,,,,,2.8,A1,A1 structured company-level absolute value; directly usable,A1 公司级结构化绝对量，可直接使用,validated_demo,,,,,authoritative_structured,,,50,2024-amazon-sustainability-report.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\世界500强10份\世界500强10份\2024-amazon-sustainability-report.pdf,2024 Amazon Sustainability Report,MMT CO2e; market-based.,MMT CO2e; market-based.,MMT CO2e; market-based.,MMT CO2e; market-based.
scope_direct_use,True,r002_amazoncom,AMAZON.COM,亚马逊,2,Scope 3,范围 3,,,,,,,,,,50.32,A1,A1 structured company-level absolute value; directly usable,A1 公司级结构化绝对量，可直接使用,validated_demo,,,,,authoritative_structured,,,50,2024-amazon-sustainability-report.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\世界500强10份\世界500强10份\2024-amazon-sustainability-report.pdf,2024 Amazon Sustainability Report,MMT CO2e; market-based indirect sources.,MMT CO2e; market-based indirect sources.,MMT CO2e; market-based indirect sources.,MMT CO2e; market-based indirect sources.
scope_direct_use,True,r007_apple,APPLE,苹果公司,7,Scope 1,范围 1,,,,,,,,,,0.0552,A1,A1 structured company-level absolute value; directly usable,A1 公司级结构化绝对量，可直接使用,auto_verified,,,,,authoritative_structured,,,104,Apple_Environmental_Progress_Report_2025.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\Apple_Environmental_Progress_Report_2025.pdf,Apple_Environmental_Progress_Report_2025.pdf,"Auto-verified from page 104; value 55,200 tCO2e.","从第 104 页自动验真；原始值 55,200 tCO2e。","Auto-verified from page 104; value 55,200 tCO2e.","从第 104 页自动验真；原始值 55,200 tCO2e。"
scope_direct_use,True,r007_apple,APPLE,苹果公司,7,Scope 1,范围 1,,,,,,,,,,0.06371,A1,A1 structured company-level absolute value; directly usable,A1 公司级结构化绝对量，可直接使用,validated_demo,,,,,authoritative_structured,,,99,Apple_Environmental_Progress_Report_2025.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\世界500强10份\世界500强10份\Apple_Environmental_Progress_Report_2025.pdf,Apple Environmental Progress Report 2025,Mt CO2e; total direct emissions in corporate facilities table.,Mt CO2e; total direct emissions in corporate facilities table.,Mt CO2e; total direct emissions in corporate facilities table.,Mt CO2e; total direct emissions in corporate facilities table.
scope_direct_use,True,r007_apple,APPLE,苹果公司,7,Scope 2,范围 2,,,,Market-Based,市场法,,,,,1.2245,A1,A1 structured company-level absolute value; directly usable,A1 公司级结构化绝对量，可直接使用,auto_verified,,,,,authoritative_structured,,,104,Apple_Environmental_Progress_Report_2025.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\Apple_Environmental_Progress_Report_2025.pdf,Apple_Environmental_Progress_Report_2025.pdf,"market-based Auto-verified from page 104; value 1,224,500 tCO2e.","市场法 从第 104 页自动验真；原始值 1,224,500 tCO2e。","market-based Auto-verified from page 104; value 1,224,500 tCO2e.","市场法 从第 104 页自动验真；原始值 1,224,500 tCO2e。"
scope_direct_use,True,r007_apple,APPLE,苹果公司,7,Scope 2,范围 2,,,,Market-Based,市场法,,,,,0.0033,A1,A1 structured company-level absolute value; directly usable,A1 公司级结构化绝对量，可直接使用,validated_demo,,,,,authoritative_structured,,,99,Apple_Environmental_Progress_Report_2025.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\世界500强10份\世界500强10份\Apple_Environmental_Progress_Report_2025.pdf,Apple Environmental Progress Report 2025,"Mt CO2e; market-based purchased steam, heating, and cooling. Purchased electricity is reported as zero.","Mt CO2e; market-based purchased steam, heating, and cooling. Purchased electricity is reported as zero.","Mt CO2e; market-based purchased steam, heating, and cooling. Purchased electricity is reported as zero.","Mt CO2e; market-based purchased steam, heating, and cooling. Purchased electricity is reported as zero."
