company_id,company_name_zh,company_name_en,world500_rank,country_zh,country_en,fortune_industry_label,fortune_industry_label_zh,fortune_industry_label_en,raw_registry_code,raw_registry_name_zh,raw_registry_name_en,current_gbt4754_code,current_gbt4754_name_zh,current_gbt4754_name_en,current_output_code,current_output_name_zh,current_output_name_en,suggested_code,suggested_name_zh,suggested_name_en,risk_level,reason,affects_sankey,accepted_standard_count,applied_to_current_industry_outputs
r049_electricitédefrance,法国电力公司,ELECTRICITÉ DE FRANCE,49,法国,,公用设施,公用设施,,I,电力、热力、燃气及水生产和供应业,"Information Transmission, Software and Information Technology Services",I,电力、热力、燃气及水生产和供应业,"Information Transmission, Software and Information Technology Services",D,电力、热力、燃气及水生产和供应业,"Electricity, Heat, Gas and Water Production and Supply",D,电力、热力、燃气及水生产和供应业,"Electricity, Heat, Gas and Water Production and Supply",high,company_workbench code is I but Chinese industry name is the GB/T 4754 utility section; output corrected to D for current Sankey.,true,1,true
r078_chinasouthernpowergrid,中国南方电网有限责任公司,CHINA SOUTHERN POWER GRID,78,中国,,公用设施,公用设施,,I,电力、热力、燃气及水生产和供应业,"Information Transmission, Software and Information Technology Services",I,电力、热力、燃气及水生产和供应业,"Information Transmission, Software and Information Technology Services",D,电力、热力、燃气及水生产和供应业,"Electricity, Heat, Gas and Water Production and Supply",D,电力、热力、燃气及水生产和供应业,"Electricity, Heat, Gas and Water Production and Supply",high,company_workbench code is I but Chinese industry name is the GB/T 4754 utility section; output corrected to D for current Sankey.,false,0,true
r097_enel,意大利国家电力公司,ENEL,97,意大利,,公用设施,公用设施,,I,电力、热力、燃气及水生产和供应业,"Information Transmission, Software and Information Technology Services",I,电力、热力、燃气及水生产和供应业,"Information Transmission, Software and Information Technology Services",D,电力、热力、燃气及水生产和供应业,"Electricity, Heat, Gas and Water Production and Supply",D,电力、热力、燃气及水生产和供应业,"Electricity, Heat, Gas and Water Production and Supply",high,company_workbench code is I but Chinese industry name is the GB/T 4754 utility section; output corrected to D for current Sankey.,true,1,true
r201_koreaelectricpower,韩国电力公司,KOREA ELECTRIC POWER,201,韩国,,公用设施,公用设施,,I,电力、热力、燃气及水生产和供应业,"Information Transmission, Software and Information Technology Services",I,电力、热力、燃气及水生产和供应业,"Information Transmission, Software and Information Technology Services",D,电力、热力、燃气及水生产和供应业,"Electricity, Heat, Gas and Water Production and Supply",D,电力、热力、燃气及水生产和供应业,"Electricity, Heat, Gas and Water Production and Supply",high,company_workbench code is I but Chinese industry name is the GB/T 4754 utility section; output corrected to D for current Sankey.,false,0,true
r317_tokyoelectricpower,东京电力公司,TOKYO ELECTRIC POWER,317,日本,,公用设施,公用设施,,I,电力、热力、燃气及水生产和供应业,"Information Transmission, Software and Information Technology Services",I,电力、热力、燃气及水生产和供应业,"Information Transmission, Software and Information Technology Services",D,电力、热力、燃气及水生产和供应业,"Electricity, Heat, Gas and Water Production and Supply",D,电力、热力、燃气及水生产和供应业,"Electricity, Heat, Gas and Water Production and Supply",high,company_workbench code is I but Chinese industry name is the GB/T 4754 utility section; output corrected to D for current Sankey.,true,1,true
r336_chinahuadian,中国华电集团有限公司,CHINA HUADIAN,336,中国,,公用设施,公用设施,,I,电力、热力、燃气及水生产和供应业,,I,电力、热力、燃气及水生产和供应业,,D,电力、热力、燃气及水生产和供应业,"Electricity, Heat, Gas and Water Production and Supply",D,电力、热力、燃气及水生产和供应业,"Electricity, Heat, Gas and Water Production and Supply",high,company_workbench code is I but Chinese industry name is the GB/T 4754 utility section; output corrected to D for current Sankey.,true,1,true
r456_koreagas,韩国天然气公司,KOREA GAS,456,韩国,,公用设施,公用设施,,I,电力、热力、燃气及水生产和供应业,"Information Transmission, Software and Information Technology Services",I,电力、热力、燃气及水生产和供应业,"Information Transmission, Software and Information Technology Services",D,电力、热力、燃气及水生产和供应业,"Electricity, Heat, Gas and Water Production and Supply",D,电力、热力、燃气及水生产和供应业,"Electricity, Heat, Gas and Water Production and Supply",high,company_workbench code is I but Chinese industry name is the GB/T 4754 utility section; output corrected to D for current Sankey.,false,0,true
r485_centrica,英国森特理克集团,CENTRICA,485,英国,,公用设施,公用设施,,I,电力、热力、燃气及水生产和供应业,"Information Transmission, Software and Information Technology Services",I,电力、热力、燃气及水生产和供应业,"Information Transmission, Software and Information Technology Services",D,电力、热力、燃气及水生产和供应业,"Electricity, Heat, Gas and Water Production and Supply",D,电力、热力、燃气及水生产和供应业,"Electricity, Heat, Gas and Water Production and Supply",high,company_workbench code is I but Chinese industry name is the GB/T 4754 utility section; output corrected to D for current Sankey.,false,0,true
r299_oracle,甲骨文公司,ORACLE,299,美国,,计算机软件,计算机软件,,C,制造业,,C,制造业,,I,信息传输、软件和信息技术服务业,"Information Transmission, Software and Information Technology Services",I,信息传输、软件和信息技术服务业,"Information Transmission, Software and Information Technology Services",high,software/cloud enterprise classified to GB/T 4754 section I for current Sankey outputs.,false,0,true
r445_salesforce,赛富时,SALESFORCE,445,美国,,计算机软件,计算机软件,,C,制造业,Manufacturing,C,制造业,Manufacturing,I,信息传输、软件和信息技术服务业,"Information Transmission, Software and Information Technology Services",I,信息传输、软件和信息技术服务业,"Information Transmission, Software and Information Technology Services",high,software/cloud enterprise classified to GB/T 4754 section I for current Sankey outputs.,true,5,true
r450_sap公司,SAP,SAP,450,德国,,计算机软件,计算机软件,,C,制造业,Manufacturing,C,制造业,Manufacturing,I,信息传输、软件和信息技术服务业,"Information Transmission, Software and Information Technology Services",I,信息传输、软件和信息技术服务业,"Information Transmission, Software and Information Technology Services",high,software/cloud enterprise classified to GB/T 4754 section I for current Sankey outputs.,true,3,true
r005_sinopecgroup,中国石油化工集团有限公司,SINOPEC GROUP,5,中国,,炼油,炼油,,C,制造业,Manufacturing,C,制造业,Manufacturing,C,制造业,Manufacturing,,,,low,strict GB/T 4754 sectioning is retained; no macro energy-sector override is applied.,false,0,true
r006_chinanationalpetroleum,中国石油天然气集团有限公司,CHINA NATIONAL PETROLEUM,6,中国,,炼油,炼油,,B,采矿业,Mining,B,采矿业,Mining,B,采矿业,Mining,,,,low,strict GB/T 4754 sectioning is retained; no macro energy-sector override is applied.,false,0,true
r012_exxonmobil,埃克森美孚,EXXON MOBIL,12,美国,,炼油,炼油,,B,采矿业,Mining,B,采矿业,Mining,B,采矿业,Mining,,,,low,strict GB/T 4754 sectioning is retained; no macro energy-sector override is applied.,false,0,true
r013_shell,壳牌公司,SHELL,13,英国,,炼油,炼油,,B,采矿业,Mining,B,采矿业,Mining,B,采矿业,Mining,,,,low,strict GB/T 4754 sectioning is retained; no macro energy-sector override is applied.,true,3,true
r023_totalenergies,道达尔能源公司,TOTALENERGIES,23,法国,,炼油,炼油,,B,采矿业,Mining,B,采矿业,Mining,B,采矿业,Mining,,,,low,strict GB/T 4754 sectioning is retained; no macro energy-sector override is applied.,true,2,true
r025_bp,英国石油公司,BP,25,英国,,炼油,炼油,,D,电力、热力、燃气及水生产和供应业,"Electricity, Heat, Gas and Water Production and Supply",D,电力、热力、燃气及水生产和供应业,"Electricity, Heat, Gas and Water Production and Supply",D,电力、热力、燃气及水生产和供应业,"Electricity, Heat, Gas and Water Production and Supply",,,,low,strict GB/T 4754 sectioning is retained; no macro energy-sector override is applied.,false,0,true
r029_chevron,雪佛龙,CHEVRON,29,美国,,炼油,炼油,,B,采矿业,Mining,B,采矿业,Mining,B,采矿业,Mining,,,,low,strict GB/T 4754 sectioning is retained; no macro energy-sector override is applied.,true,3,true
r098_eni,埃尼石油公司,ENI,98,意大利,,炼油,炼油,,D,电力、热力、燃气及水生产和供应业,"Electricity, Heat, Gas and Water Production and Supply",D,电力、热力、燃气及水生产和供应业,"Electricity, Heat, Gas and Water Production and Supply",D,电力、热力、燃气及水生产和供应业,"Electricity, Heat, Gas and Water Production and Supply",,,,low,strict GB/T 4754 sectioning is retained; no macro energy-sector override is applied.,true,2,true
r099_petrobras,巴西国家石油公司,PETROBRAS,99,巴西,,炼油,炼油,,D,电力、热力、燃气及水生产和供应业,,D,电力、热力、燃气及水生产和供应业,,D,电力、热力、燃气及水生产和供应业,"Electricity, Heat, Gas and Water Production and Supply",,,,low,strict GB/T 4754 sectioning is retained; no macro energy-sector override is applied.,false,0,true
r247_repsol,雷普索尔公司,REPSOL,247,西班牙,,炼油,炼油,,D,电力、热力、燃气及水生产和供应业,"Electricity, Heat, Gas and Water Production and Supply",D,电力、热力、燃气及水生产和供应业,"Electricity, Heat, Gas and Water Production and Supply",D,电力、热力、燃气及水生产和供应业,"Electricity, Heat, Gas and Water Production and Supply",,,,low,strict GB/T 4754 sectioning is retained; no macro energy-sector override is applied.,true,2,true
