queue_id,company_id,report_id,inventory_year,record_type,instrument_type_en,metric_name_en,value_text,value_numeric,unit,currency,price_year,scenario_en,target_name_en,baseline_year,baseline_emission_value,target_year,target_emission_value,actual_progress_year,actual_progress_value,target_scope_boundary,evidence_page,source_file,chain_completeness_status,review_decision,reviewer_note,company_name_en,company_name_zh,world500_rank
econ_target_00001,r001_walmart,,,economic_instrument,,,,,,,,,,,,,,,,,,,missing,,,WALMART,沃尔玛,1
econ_target_00002,r001_walmart,,,target_progress_chain,,,,,,,,,,,,,,,,,,,missing,,,WALMART,沃尔玛,1
econ_target_00003,r002_amazoncom,,,economic_instrument,,,,,,,,,,,,,,,,,,,missing,,,AMAZON.COM,亚马逊,2
econ_target_00004,r002_amazoncom,,,target_progress_chain,,,,,,,,,,,,,,,,,,,missing,,,AMAZON.COM,亚马逊,2
econ_target_00005,r003_stategrid,,,economic_instrument,,,,,,,,,,,,,,,,,,,missing,,,STATE GRID,国家电网有限公司,3
econ_target_00006,r003_stategrid,,,target_progress_chain,,,,,,,,,,,,,,,,,,,missing,,,STATE GRID,国家电网有限公司,3
econ_target_00007,r004_saudiaramco,,,economic_instrument,,,,,,,,,,,,,,,,,,,missing,,,SAUDI ARAMCO,沙特阿美公司,4
econ_target_00008,r004_saudiaramco,,,target_progress_chain,,,,,,,,,,,,,,,,,,,missing,,,SAUDI ARAMCO,沙特阿美公司,4
econ_target_00009,r005_sinopecgroup,,,economic_instrument,,,,,,,,,,,,,,,,,,,missing,,,SINOPEC GROUP,中国石油化工集团有限公司,5
econ_target_00010,r005_sinopecgroup,,,target_progress_chain,,,,,,,,,,,,,,,,,,,missing,,,SINOPEC GROUP,中国石油化工集团有限公司,5
econ_target_00011,r006_chinanationalpetroleum,,,economic_instrument,,,,,,,,,,,,,,,,,,,missing,,,CHINA NATIONAL PETROLEUM,中国石油天然气集团有限公司,6
econ_target_00012,r006_chinanationalpetroleum,,,target_progress_chain,,,,,,,,,,,,,,,,,,,missing,,,CHINA NATIONAL PETROLEUM,中国石油天然气集团有限公司,6
econ_target_00013,r007_apple,,,economic_instrument,,,,,,,,,,,,,,,,,,,missing,,,APPLE,苹果公司,7
econ_target_00014,r007_apple,,,target_progress_chain,,,,,,,,,,,,,,,,,,,missing,,,APPLE,苹果公司,7
econ_target_00015,r008_unitedhealthgroup,,,economic_instrument,,,,,,,,,,,,,,,,,,,missing,,,UNITEDHEALTH GROUP,联合健康集团,8
