relation,bucket,edge_count,missing_evidence_page_count,missing_evidence_page_ratio
discloses_emission,accepted_fact_edge_requires_page,286,0,0.0
documents_economic_instrument,accepted_fact_edge_requires_page,1,0,0.0
documents_gwp_version,accepted_fact_edge_requires_page,1,0,0.0
documents_methodology,accepted_fact_edge_requires_page,5806,0,0.0
documents_standard_reference,accepted_fact_edge_requires_page,1351,0,0.0
for_scope,ontology_or_scaffold_edge_page_optional,5897,5897,1.0
has_calculation_method,ontology_or_scaffold_edge_page_optional,629,629,1.0
has_data_quality_flag,ontology_or_scaffold_edge_page_optional,439,439,1.0
has_data_source_type,ontology_or_scaffold_edge_page_optional,683,683,1.0
has_evidence_page,ontology_or_scaffold_edge_page_optional,2948,0,0.0
has_gwp_version_fact,ontology_or_scaffold_edge_page_optional,1,1,1.0
has_methodology_fact,ontology_or_scaffold_edge_page_optional,5806,5806,1.0
has_review_candidate,uncategorized_edge_review_required,206,206,1.0
has_scope3_category,ontology_or_scaffold_edge_page_optional,3647,3647,1.0
has_source_file,ontology_or_scaffold_edge_page_optional,350,350,1.0
has_source_trace,ontology_or_scaffold_edge_page_optional,7651,0,0.0
identifies_scope3_category_value_candidate,uncategorized_edge_review_required,128,0,0.0
identifies_scope_value_candidate,uncategorized_edge_review_required,78,0,0.0
publishes,ontology_or_scaffold_edge_page_optional,350,350,1.0
references_standard,ontology_or_scaffold_edge_page_optional,1351,1351,1.0
reports_emission,ontology_or_scaffold_edge_page_optional,286,286,1.0
uses_economic_instrument,ontology_or_scaffold_edge_page_optional,1,1,1.0
