queue_id,company_id,report_id,emission_anchor_id,scope_en,scope3_category_code,activity_category_en,calculation_method_en,region_en,fuel_or_grid_en,gas,value_mtco2e,factor_needed_type,candidate_factor_id,factor_source_en,factor_class_en,factor_unit,factor_gwp_basis,factor_publication_year,unit_conversion_needed,edge_status,evidence_page,source_file,review_decision,reviewer_note
factor_edge_00001,r001_walmart,,r001_walmart_Scope 1__1,Scope 1,,,,,,,9.03,fuel_combustion_process_or_fugitive_factor,,,,,,,review,missing_applies_emission_factor,106,FY2025-Walmart-ESG-Report.pdf,,
factor_edge_00002,r001_walmart,,r001_walmart_Scope 2__2,Scope 2,,,Market-Based,,,,6.61,electricity_or_purchased_energy_factor,,,,,,,review,missing_applies_emission_factor,106,FY2025-Walmart-ESG-Report.pdf,,
factor_edge_00003,r001_walmart,,r001_walmart_Scope 3__3,Scope 3,,,,,,,636.57,emission_record_factor,,,,,,,review,missing_applies_emission_factor,106,FY2025-Walmart-ESG-Report.pdf,,
factor_edge_00004,r002_amazoncom,,r002_amazoncom_Scope 1__4,Scope 1,,,,,,,15.13,fuel_combustion_process_or_fugitive_factor,,,,,,,review,missing_applies_emission_factor,50,2024-amazon-sustainability-report.pdf,,
factor_edge_00005,r002_amazoncom,,r002_amazoncom_Scope 2__5,Scope 2,,,Market-Based,,,,2.8,electricity_or_purchased_energy_factor,,,,,,,review,missing_applies_emission_factor,50,2024-amazon-sustainability-report.pdf,,
factor_edge_00006,r002_amazoncom,,r002_amazoncom_Scope 3__6,Scope 3,,,,,,,50.32,emission_record_factor,,,,,,,review,missing_applies_emission_factor,50,2024-amazon-sustainability-report.pdf,,
factor_edge_00007,r007_apple,,r007_apple_Scope 1__7,Scope 1,,,,,,,0.0552,fuel_combustion_process_or_fugitive_factor,,,,,,,review,missing_applies_emission_factor,104,Apple_Environmental_Progress_Report_2025.pdf,,
factor_edge_00008,r007_apple,,r007_apple_Scope 1__8,Scope 1,,,,,,,0.06371,fuel_combustion_process_or_fugitive_factor,,,,,,,review,missing_applies_emission_factor,99,Apple_Environmental_Progress_Report_2025.pdf,,
factor_edge_00009,r007_apple,,r007_apple_Scope 2__9,Scope 2,,,Market-Based,,,,1.2245,electricity_or_purchased_energy_factor,,,,,,,review,missing_applies_emission_factor,104,Apple_Environmental_Progress_Report_2025.pdf,,
factor_edge_00010,r007_apple,,r007_apple_Scope 2__10,Scope 2,,,Market-Based,,,,0.0033,electricity_or_purchased_energy_factor,,,,,,,review,missing_applies_emission_factor,99,Apple_Environmental_Progress_Report_2025.pdf,,
