ranking_type,rank,available_rank,company_id,world500_rank,company_name_en,company_name_zh,industry_section_code,industry_section_en,industry_section_zh,total_mtco2e,scope1_mtco2e,scope2_mtco2e,scope2_method_en,scope3_mtco2e,scope3_boundary_class_en,scope3_boundary_basis_en,selected_evidence_missing_elements,inventory_years,completeness_key,completeness_en,completeness_zh,missing_scopes,strong_row_count,review_required_row_count,conflict_excluded_row_count,duplicate_scope_candidate_count,selected_evidence_pages,selected_source_files,selected_scope_rows,recommended_use_en,recommended_use_zh
complete_comparable,1,1,r013_shell,13,SHELL,壳牌公司,B,Mining,采矿业,1142,50,8,Market-Based,1084,operational_or_value_chain_scope3,Non-finance company selected Scope 3 row; no PCAF/financed-emissions boundary signal required for the ranking gate.,,2024,complete_scope123_strong_evidence_total,Complete Scope 1 + selected Scope 2 + Scope 3 strong-evidence total.,完整 Scope 1 + 选定 Scope 2 + Scope 3 强证据总量。,,4,0,0,1,109 | 99,shell-annual-report-2024.pdf,Scope 1:50 MtCO2e; year=2024; method=; unit=CO2 equivalent; boundary=corporate_direct_scope1_inventory; evidence_status=page_unit_year_value_boundary_traceable; page=109; source=shell-annual-report-2024.pdf || Scope 2:8 MtCO2e; year=2024; method=Market-Based; unit=CO2 equivalent; boundary=corporate_energy_indirect_scope2_inventory; evidence_status=page_unit_year_value_boundary_traceable; page=109; source=shell-annual-report-2024.pdf || Scope 3:1084 MtCO2e; year=2024; method=; unit=tonnes CO2e; boundary=operational_or_value_chain_scope3; scope3_boundary=operational_or_value_chain_scope3; evidence_status=page_unit_year_value_boundary_traceable; page=99; source=shell-annual-report-2024.pdf,Accepted comparable ranking row: complete Scope 1 + selected Scope 2 + Scope 3 strong-evidence total.,可采信可比排行行：Scope 1 + 选定 Scope 2 + Scope 3 均通过强证据门禁。
complete_comparable,2,3,r001_walmart,1,WALMART,沃尔玛,F,Wholesale and Retail Trade,批发和零售业,652.21,9.03,6.61,Market-Based,636.57,operational_or_value_chain_scope3,Non-finance company selected Scope 3 row; no PCAF/financed-emissions boundary signal required for the ranking gate.,,2024,complete_scope123_strong_evidence_total,Complete Scope 1 + selected Scope 2 + Scope 3 strong-evidence total.,完整 Scope 1 + 选定 Scope 2 + Scope 3 强证据总量。,,3,0,0,0,106,FY2025-Walmart-ESG-Report.pdf,Scope 1:9.03 MtCO2e; year=2024; method=; unit=MMT CO2e; boundary=corporate_direct_scope1_inventory; evidence_status=page_unit_year_value_boundary_traceable; page=106; source=FY2025-Walmart-ESG-Report.pdf || Scope 2:6.61 MtCO2e; year=2024; method=Market-Based; unit=MMT CO2e; boundary=corporate_energy_indirect_scope2_inventory; evidence_status=page_unit_year_value_boundary_traceable; page=106; source=FY2025-Walmart-ESG-Report.pdf || Scope 3:636.57 MtCO2e; year=2024; method=; unit=MT CO2e; boundary=operational_or_value_chain_scope3; scope3_boundary=operational_or_value_chain_scope3; evidence_status=page_unit_year_value_boundary_traceable; page=106; source=FY2025-Walmart-ESG-Report.pdf,Accepted comparable ranking row: complete Scope 1 + selected Scope 2 + Scope 3 strong-evidence total.,可采信可比排行行：Scope 1 + 选定 Scope 2 + Scope 3 均通过强证据门禁。
complete_comparable,3,6,r091_equinor公司,91,Equinor,Equinor,D,"Electricity, Heat, Gas and Water Production and Supply",电力、热力、燃气及水生产和供应业,287.952225,8.331465,1.492572,Market-Based,278.128188,operational_or_value_chain_scope3,Non-finance company selected Scope 3 row; no PCAF/financed-emissions boundary signal required for the ranking gate.,,2024,complete_scope123_strong_evidence_total,Complete Scope 1 + selected Scope 2 + Scope 3 strong-evidence total.,完整 Scope 1 + 选定 Scope 2 + Scope 3 强证据总量。,,4,0,0,1,117,annual-report-2024-equinor.pdf,Scope 1:8.331465 MtCO2e; year=2024; method=; unit=tCO2e; boundary=corporate_direct_scope1_inventory; evidence_status=page_unit_year_value_boundary_traceable; page=117; source=annual-report-2024-equinor.pdf || Scope 2:1.492572 MtCO2e; year=2024; method=Market-Based; unit=tCO2e; boundary=corporate_energy_indirect_scope2_inventory; evidence_status=page_unit_year_value_boundary_traceable; page=117; source=annual-report-2024-equinor.pdf || Scope 3:278.128188 MtCO2e; year=2024; method=; unit=tCO2e; boundary=operational_or_value_chain_scope3; scope3_boundary=operational_or_value_chain_scope3; evidence_status=page_unit_year_value_boundary_traceable; page=117; source=annual-report-2024-equinor.pdf,Accepted comparable ranking row: complete Scope 1 + selected Scope 2 + Scope 3 strong-evidence total.,可采信可比排行行：Scope 1 + 选定 Scope 2 + Scope 3 均通过强证据门禁。
complete_comparable,4,7,r048_homedepot,48,HOME DEPOT,家得宝,F,Wholesale and Retail Trade,批发和零售业,194.2958,0.628,0.7338,Market-Based,192.934,operational_or_value_chain_scope3,Non-finance company selected Scope 3 row; no PCAF/financed-emissions boundary signal required for the ranking gate.,,2023,complete_scope123_strong_evidence_total,Complete Scope 1 + selected Scope 2 + Scope 3 strong-evidence total.,完整 Scope 1 + 选定 Scope 2 + Scope 3 强证据总量。,,3,0,0,0,45 | 95,2024_ESG_Report_The_Home_Depot.pdf,Scope 1:0.628 MtCO2e; year=2023; method=; unit=MT CO2e; boundary=corporate_direct_scope1_inventory; evidence_status=page_unit_year_value_boundary_traceable; page=45; source=2024_ESG_Report_The_Home_Depot.pdf || Scope 2:0.7338 MtCO2e; year=2023; method=Market-Based; unit=MT CO2e; boundary=corporate_energy_indirect_scope2_inventory; evidence_status=page_unit_year_value_boundary_traceable; page=45; source=2024_ESG_Report_The_Home_Depot.pdf || Scope 3:192.934 MtCO2e; year=2023; method=; unit=MT CO2e; boundary=operational_or_value_chain_scope3; scope3_boundary=operational_or_value_chain_scope3; evidence_status=page_unit_year_value_boundary_traceable; page=95; source=2024_ESG_Report_The_Home_Depot.pdf,Accepted comparable ranking row: complete Scope 1 + selected Scope 2 + Scope 3 strong-evidence total.,可采信可比排行行：Scope 1 + 选定 Scope 2 + Scope 3 均通过强证据门禁。
complete_comparable,5,8,r480_ecopetrol,480,ECOPETROL,哥伦比亚国家石油公司,B,Mining,采矿业,163.794363,11.817212999999999,0.859892,Market-Based,151.117258,operational_or_value_chain_scope3,Non-finance company selected Scope 3 row; no PCAF/financed-emissions boundary signal required for the ranking gate.,,2024,complete_scope123_strong_evidence_total,Complete Scope 1 + selected Scope 2 + Scope 3 strong-evidence total.,完整 Scope 1 + 选定 Scope 2 + Scope 3 强证据总量。,,4,0,0,1,395 | 297,2024-ECOPETROL-integrated-management-report.pdf,Scope 1:11.817212999999999 MtCO2e; year=2024; method=; unit=tCO2e; boundary=corporate_direct_scope1_inventory; evidence_status=page_unit_year_value_boundary_traceable; page=395; source=2024-ECOPETROL-integrated-management-report.pdf || Scope 2:0.859892 MtCO2e; year=2024; method=Market-Based; unit=tCO2e; boundary=corporate_energy_indirect_scope2_inventory; evidence_status=page_unit_year_value_boundary_traceable; page=297; source=2024-ECOPETROL-integrated-management-report.pdf || Scope 3:151.117258 MtCO2e; year=2024; method=; unit=tCO2e; boundary=operational_or_value_chain_scope3; scope3_boundary=operational_or_value_chain_scope3; evidence_status=page_unit_year_value_boundary_traceable; page=297; source=2024-ECOPETROL-integrated-management-report.pdf,Accepted comparable ranking row: complete Scope 1 + selected Scope 2 + Scope 3 strong-evidence total.,可采信可比排行行：Scope 1 + 选定 Scope 2 + Scope 3 均通过强证据门禁。
complete_comparable,6,10,r315_unicreditgroup,315,UNICREDIT GROUP,联合信贷集团,J,Finance,金融业,97.51461,0.024412,0.016702,Market-Based,97.473496,finance_operational_or_value_chain_scope3,Finance-sector company with Scope 3 evidence that appears operational or value-chain rather than PCAF financed-emissions evidence.,,2024,complete_scope123_strong_evidence_total,Complete Scope 1 + selected Scope 2 + Scope 3 strong-evidence total.,完整 Scope 1 + 选定 Scope 2 + Scope 3 强证据总量。,,4,0,0,1,271,2024-UNICREDIT GROUP-Annual-Reports-and-Accounts.pdf,Scope 1:0.024412 MtCO2e; year=2024; method=; unit=MtCO2e; boundary=corporate_direct_scope1_inventory; evidence_status=page_unit_year_value_boundary_traceable; page=271; source=2024-UNICREDIT GROUP-Annual-Reports-and-Accounts.pdf || Scope 2:0.016702 MtCO2e; year=2024; method=Market-Based; unit=MtCO2e; boundary=corporate_energy_indirect_scope2_inventory; evidence_status=page_unit_year_value_boundary_traceable; page=271; source=2024-UNICREDIT GROUP-Annual-Reports-and-Accounts.pdf || Scope 3:97.473496 MtCO2e; year=2024; method=; unit=MtCO2e; boundary=finance_operational_or_value_chain_scope3; scope3_boundary=finance_operational_or_value_chain_scope3; evidence_status=page_unit_year_value_boundary_traceable; page=271; source=2024-UNICREDIT GROUP-Annual-Reports-and-Accounts.pdf,Accepted comparable ranking row: complete Scope 1 + selected Scope 2 + Scope 3 strong-evidence total.,可采信可比排行行：Scope 1 + 选定 Scope 2 + Scope 3 均通过强证据门禁。
complete_comparable,7,11,r002_amazoncom,2,AMAZON.COM,亚马逊,F,Wholesale and Retail Trade,批发和零售业,68.25,15.13,2.8,Market-Based,50.32,operational_or_value_chain_scope3,Non-finance company selected Scope 3 row; no PCAF/financed-emissions boundary signal required for the ranking gate.,,2024,complete_scope123_strong_evidence_total,Complete Scope 1 + selected Scope 2 + Scope 3 strong-evidence total.,完整 Scope 1 + 选定 Scope 2 + Scope 3 强证据总量。,,3,0,0,0,50,2024-amazon-sustainability-report.pdf,Scope 1:15.13 MtCO2e; year=2024; method=; unit=MMT CO2e; boundary=corporate_direct_scope1_inventory; evidence_status=page_unit_year_value_boundary_traceable; page=50; source=2024-amazon-sustainability-report.pdf || Scope 2:2.8 MtCO2e; year=2024; method=Market-Based; unit=MMT CO2e; boundary=corporate_energy_indirect_scope2_inventory; evidence_status=page_unit_year_value_boundary_traceable; page=50; source=2024-amazon-sustainability-report.pdf || Scope 3:50.32 MtCO2e; year=2024; method=; unit=MMT CO2e; boundary=operational_or_value_chain_scope3; scope3_boundary=operational_or_value_chain_scope3; evidence_status=page_unit_year_value_boundary_traceable; page=50; source=2024-amazon-sustainability-report.pdf,Accepted comparable ranking row: complete Scope 1 + selected Scope 2 + Scope 3 strong-evidence total.,可采信可比排行行：Scope 1 + 选定 Scope 2 + Scope 3 均通过强证据门禁。
complete_comparable,8,12,r114_royalaholddelhaize,114,ROYAL AHOLD DELHAIZE,皇家阿霍德德尔海兹集团,F,Wholesale and Retail Trade,批发和零售业,66.143,1.695,0.889,Market-Based,63.559,operational_or_value_chain_scope3,Non-finance company selected Scope 3 row; no PCAF/financed-emissions boundary signal required for the ranking gate.,,2024,complete_scope123_strong_evidence_total,Complete Scope 1 + selected Scope 2 + Scope 3 strong-evidence total.,完整 Scope 1 + 选定 Scope 2 + Scope 3 强证据总量。,,4,1,0,1,176,Ahold_Delhaize_Annual_Report_2024.pdf,Scope 1:1.695 MtCO2e; year=2024; method=; unit=unit_matched_in_page_text; boundary=corporate_direct_scope1_inventory; evidence_status=page_unit_year_value_boundary_traceable; page=176; source=Ahold_Delhaize_Annual_Report_2024.pdf || Scope 2:0.889 MtCO2e; year=2024; method=Market-Based; unit=unit_matched_in_page_text; boundary=corporate_energy_indirect_scope2_inventory; evidence_status=page_unit_year_value_boundary_traceable; page=176; source=Ahold_Delhaize_Annual_Report_2024.pdf || Scope 3:63.559 MtCO2e; year=2024; method=; unit=unit_matched_in_page_text; boundary=operational_or_value_chain_scope3; scope3_boundary=operational_or_value_chain_scope3; evidence_status=page_unit_year_value_boundary_traceable; page=176; source=Ahold_Delhaize_Annual_Report_2024.pdf,Accepted comparable ranking row: complete Scope 1 + selected Scope 2 + Scope 3 strong-evidence total.,可采信可比排行行：Scope 1 + 选定 Scope 2 + Scope 3 均通过强证据门禁。
complete_comparable,9,14,r270_unitedairlinesholdings,270,UNITED AIRLINES HOLDINGS,联合航空控股公司,G,"Transport, Storage and Post",交通运输、仓储和邮政业,52.239731,38.520027,0.134497,Market-Based,13.585207,operational_or_value_chain_scope3,Non-finance company selected Scope 3 row; no PCAF/financed-emissions boundary signal required for the ranking gate.,,2024,complete_scope123_strong_evidence_total,Complete Scope 1 + selected Scope 2 + Scope 3 strong-evidence total.,完整 Scope 1 + 选定 Scope 2 + Scope 3 强证据总量。,,5,0,0,2,102 | 101,united-airlines-2024-corporate-impact-report.pdf,Scope 1:38.520027 MtCO2e; year=2024; method=; unit=unit_matched_in_page_text; boundary=corporate_direct_scope1_inventory; evidence_status=page_unit_year_value_boundary_traceable; page=102; source=united-airlines-2024-corporate-impact-report.pdf || Scope 2:0.134497 MtCO2e; year=2024; method=Market-Based; unit=metric tons CO2e; boundary=corporate_energy_indirect_scope2_inventory; evidence_status=page_unit_year_value_boundary_traceable; page=101; source=united-airlines-2024-corporate-impact-report.pdf || Scope 3:13.585207 MtCO2e; year=2024; method=; unit=unit_matched_in_page_text; boundary=operational_or_value_chain_scope3; scope3_boundary=operational_or_value_chain_scope3; evidence_status=page_unit_year_value_boundary_traceable; page=102; source=united-airlines-2024-corporate-impact-report.pdf,Accepted comparable ranking row: complete Scope 1 + selected Scope 2 + Scope 3 strong-evidence total.,可采信可比排行行：Scope 1 + 选定 Scope 2 + Scope 3 均通过强证据门禁。
complete_comparable,10,15,r278_americanairlinesgroup,278,AMERICAN AIRLINES GROUP,美国航空集团,G,"Transport, Storage and Post",交通运输、仓储和邮政业,50.971708,39.604835,0.17718399999999998,Market-Based,11.189689,operational_or_value_chain_scope3,Non-finance company selected Scope 3 row; no PCAF/financed-emissions boundary signal required for the ranking gate.,,2024,complete_scope123_strong_evidence_total,Complete Scope 1 + selected Scope 2 + Scope 3 strong-evidence total.,完整 Scope 1 + 选定 Scope 2 + Scope 3 强证据总量。,,3,1,0,0,92 | 90,American-Airlines-Sustainability-Report-2024.pdf,Scope 1:39.604835 MtCO2e; year=2024; method=; unit=tCO2e; boundary=corporate_direct_scope1_inventory; evidence_status=page_unit_year_value_boundary_traceable; page=92; source=American-Airlines-Sustainability-Report-2024.pdf || Scope 2:0.17718399999999998 MtCO2e; year=2024; method=Market-Based; unit=tCO2e; boundary=corporate_energy_indirect_scope2_inventory; evidence_status=page_unit_year_value_boundary_traceable; page=92; source=American-Airlines-Sustainability-Report-2024.pdf || Scope 3:11.189689 MtCO2e; year=2024; method=; unit=unit_matched_in_page_text; boundary=operational_or_value_chain_scope3; scope3_boundary=operational_or_value_chain_scope3; evidence_status=page_unit_year_value_boundary_traceable; page=90; source=American-Airlines-Sustainability-Report-2024.pdf,Accepted comparable ranking row: complete Scope 1 + selected Scope 2 + Scope 3 strong-evidence total.,可采信可比排行行：Scope 1 + 选定 Scope 2 + Scope 3 均通过强证据门禁。
