industry_section_code,industry_section_name_zh,industry_section_name_en,published_company_count,complete_comparable_count,available_emissions_count,partial_emissions_count,missing_total_emissions_count,missing_scope1_count,missing_scope2_count,missing_scope3_count,missing_unit_or_year_count,complete_coverage_rate
A,农、林、牧、渔业,"Agriculture, Forestry, Animal Husbandry and Fishery",0,0,0,0,0,0,0,0,0,0
B,采矿业,Mining,13,2,6,4,11,10,10,9,7,0.1538
C,制造业,Manufacturing,119,5,28,23,114,100,105,107,91,0.042
D,电力、热力、燃气及水生产和供应业,"Electricity, Heat, Gas and Water Production and Supply",32,2,12,10,30,23,25,27,20,0.0625
E,建筑业,Construction,11,0,2,2,11,9,10,11,9,0
F,批发和零售业,Wholesale and Retail Trade,42,8,15,7,34,29,32,31,27,0.1905
G,交通运输、仓储和邮政业,"Transport, Storage and Post",12,3,4,1,9,9,8,9,8,0.25
H,住宿和餐饮业,Accommodation and Catering,2,0,1,1,2,2,2,1,1,0
I,信息传输、软件和信息技术服务业,"Information Transmission, Software and Information Technology Services",23,1,5,4,22,19,20,21,18,0.0435
J,金融业,Finance,82,5,15,10,77,70,72,72,67,0.061
K,房地产业,Real Estate,1,0,1,1,1,0,1,1,0,0
L,租赁和商务服务业,Leasing and Business Services,10,0,0,0,10,10,10,10,10,0
M,科学研究和技术服务业,Scientific Research and Technical Services,0,0,0,0,0,0,0,0,0,0
N,水利、环境和公共设施管理业,"Water, Environment and Public Facilities Management",0,0,0,0,0,0,0,0,0,0
O,居民服务、修理和其他服务业,"Resident Services, Repairs and Other Services",0,0,0,0,0,0,0,0,0,0
P,教育,Education,0,0,0,0,0,0,0,0,0,0
Q,卫生和社会工作,Health and Social Work,0,0,0,0,0,0,0,0,0,0
R,文化、体育和娱乐业,"Culture, Sports and Entertainment",3,1,2,1,2,2,2,1,1,0.3333
S,公共管理、社会保障和社会组织,"Public Administration, Social Security and Social Organizations",1,0,0,0,1,1,1,1,1,0
T,国际组织,International Organizations,0,0,0,0,0,0,0,0,0,0
