industry_section_code,industry_section_name_zh,industry_section_name_en,gb_standard,rank_within_industry_section,company_id,company_name,world500_rank,scope1,scope2_selected,scope3,total_emissions,year,unit,source_file,page,evidence_status
B,采矿业,Mining,GB/T 4754-2017,1,r013_shell,SHELL,13,50,8,1084,1142,2024,MtCO2e,shell-annual-report-2024.pdf,109 | 99,complete_comparable_scope123_strong_evidence
B,采矿业,Mining,GB/T 4754-2017,2,r480_ecopetrol,ECOPETROL,480,11.817212999999999,0.859892,151.117258,163.794363,2024,MtCO2e,2024-ECOPETROL-integrated-management-report.pdf,395 | 297,complete_comparable_scope123_strong_evidence
C,制造业,Manufacturing,GB/T 4754-2017,1,r486_linde,LINDE,486,16.47,20.942999999999998,10.673,48.086,2024,MtCO2e,2024-LINDE-sustainable-development-report.pdf | linde-2024-sustainable-development-report.pdf,99 | 59,complete_comparable_scope123_strong_evidence
C,制造业,Manufacturing,GB/T 4754-2017,2,r007_apple,APPLE,7,0.06371,0.0033,35.73,35.79701,2024,MtCO2e,Apple_Environmental_Progress_Report_2025.pdf,99 | 106,complete_comparable_scope123_strong_evidence
C,制造业,Manufacturing,GB/T 4754-2017,3,r261_intel,INTEL,261,1.105,0.097,25.059,26.261,2024,MtCO2e,Intel-2024-Sustainability-Report.pdf,36,complete_comparable_scope123_strong_evidence
C,制造业,Manufacturing,GB/T 4754-2017,4,r222_nvidia,NVIDIA,222,0.012952,0,6.912577,6.925529,2024,MtCO2e,Nvidia-2025-Sustainability-Report.pdf,29,complete_comparable_scope123_strong_evidence
C,制造业,Manufacturing,GB/T 4754-2017,5,r297_sanofi,SANOFI,297,0.298485,0.075864,3.822627,4.196976,2024,MtCO2e,SANOFI-sustainability-statement-2024--ESG-Report-.pdf,38,complete_comparable_scope123_strong_evidence
D,电力、热力、燃气及水生产和供应业,"Electricity, Heat, Gas and Water Production and Supply",GB/T 4754-2017,1,r091_equinor公司,Equinor,91,8.331465,1.492572,278.128188,287.952225,2024,MtCO2e,annual-report-2024-equinor.pdf,117,complete_comparable_scope123_strong_evidence
D,电力、热力、燃气及水生产和供应业,"Electricity, Heat, Gas and Water Production and Supply",GB/T 4754-2017,2,r467_tongweigroup,TONGWEI GROUP,467,2.312906,20.160531,10.345676,32.819113,2024,MtCO2e,Tongwei-Group-2024-ESG-Report.pdf,121,complete_comparable_scope123_strong_evidence
F,批发和零售业,Wholesale and Retail Trade,GB/T 4754-2017,1,r001_walmart,WALMART,1,9.03,6.61,636.57,652.21,2024,MtCO2e,FY2025-Walmart-ESG-Report.pdf,106,complete_comparable_scope123_strong_evidence
F,批发和零售业,Wholesale and Retail Trade,GB/T 4754-2017,2,r048_homedepot,HOME DEPOT,48,0.628,0.7338,192.934,194.2958,2023,MtCO2e,2024_ESG_Report_The_Home_Depot.pdf,45 | 95,complete_comparable_scope123_strong_evidence
F,批发和零售业,Wholesale and Retail Trade,GB/T 4754-2017,3,r122_carrefour,CARREFOUR,122,0.669327,0.555813,146.30887,147.53401,2024,MtCO2e,Carrefour-2024-Sustainability-Report.pdf,104,complete_comparable_scope123_strong_evidence
F,批发和零售业,Wholesale and Retail Trade,GB/T 4754-2017,4,r002_amazoncom,AMAZON.COM,2,15.13,2.8,50.32,68.25,2024,MtCO2e,2024-amazon-sustainability-report.pdf,50,complete_comparable_scope123_strong_evidence
F,批发和零售业,Wholesale and Retail Trade,GB/T 4754-2017,5,r114_royalaholddelhaize,ROYAL AHOLD DELHAIZE,114,1.695,0.889,63.559,66.143,2024,MtCO2e,Ahold_Delhaize_Annual_Report_2024.pdf,176,complete_comparable_scope123_strong_evidence
F,批发和零售业,Wholesale and Retail Trade,GB/T 4754-2017,6,r392_coop集团,Coop,392,0.203296,0.045606,22.633056,22.881958,2024,MtCO2e,COOP GROUP Fortschrittsbericht-Nachhaltigkeit-2024_en.pdf,78 | 79 | 53,complete_comparable_scope123_strong_evidence
F,批发和零售业,Wholesale and Retail Trade,GB/T 4754-2017,7,r352_bestbuy,BEST BUY,352,0.185561,0.082445,15.732438,16.000444,2025,MtCO2e,BestBuy-CRS-Report-2025.pdf,59,complete_comparable_scope123_strong_evidence
F,批发和零售业,Wholesale and Retail Trade,GB/T 4754-2017,8,r066_metaplatforms公司,Meta Platforms,66,0.048951999999999996,0.001658,7.445621,7.496231,2023,MtCO2e,Meta-2024-Sustainability-Report.pdf,78 | 21,complete_comparable_scope123_strong_evidence
G,交通运输、仓储和邮政业,"Transport, Storage and Post",GB/T 4754-2017,1,r270_unitedairlinesholdings,UNITED AIRLINES HOLDINGS,270,38.520027,0.134497,13.585207,52.239731,2024,MtCO2e,united-airlines-2024-corporate-impact-report.pdf,102 | 101,complete_comparable_scope123_strong_evidence
G,交通运输、仓储和邮政业,"Transport, Storage and Post",GB/T 4754-2017,2,r278_americanairlinesgroup,AMERICAN AIRLINES GROUP,278,39.604835,0.17718399999999998,11.189689,50.971708,2024,MtCO2e,American-Airlines-Sustainability-Report-2024.pdf,92 | 90,complete_comparable_scope123_strong_evidence
G,交通运输、仓储和邮政业,"Transport, Storage and Post",GB/T 4754-2017,3,r374_lufthansagroup,LUFTHANSA GROUP,374,29.159,0.049,13.734,42.942,2024,MtCO2e,Lufthansa-Group-Annual-Report-2024.pdf,163,complete_comparable_scope123_strong_evidence
I,信息传输、软件和信息技术服务业,"Information Transmission, Software and Information Technology Services",GB/T 4754-2017,1,r350_telefónica,TELEFÓNICA,350,0.122874,0.152327,1.962411,2.237612,2024,MtCO2e,2024TELEFÓNICA consolidated-management-report.pdf,206,complete_comparable_scope123_strong_evidence
J,金融业,Finance,GB/T 4754-2017,1,r315_unicreditgroup,UNICREDIT GROUP,315,0.024412,0.016702,97.473496,97.51461,2024,MtCO2e,2024-UNICREDIT GROUP-Annual-Reports-and-Accounts.pdf,271,complete_comparable_scope123_strong_evidence
J,金融业,Finance,GB/T 4754-2017,2,r008_unitedhealthgroup,UNITEDHEALTH GROUP,8,0.105782,0.265661,17.977601,18.349044,2024,MtCO2e,UNITEDHEALTH GROUP—2024-sustainability-report.pdf,81 | 82,complete_comparable_scope123_strong_evidence
J,金融业,Finance,GB/T 4754-2017,3,r046_centene公司,Centene,46,0.007825,0.038671,1.184419,1.230915,2024,MtCO2e,Centene-Corporate-Responsibility-2024.pdf,73,complete_comparable_scope123_strong_evidence
J,金融业,Finance,GB/T 4754-2017,4,r260_newyorklifeinsurance,NEW YORK LIFE INSURANCE,260,0.00957,0.075388,0.057931,0.142889,2024,MtCO2e,2024NEW YORK LIFE INSURANCE Corporate-Responsibility-Report.pdf,54,complete_comparable_scope123_strong_evidence
J,金融业,Finance,GB/T 4754-2017,5,r327_talanx公司,Talanx,327,0.012627,0.012627,0.012627,0.037881,2022,MtCO2e,Talanx_Nachhaltigkeitsbericht_2023_en.pdf,32,complete_comparable_scope123_strong_evidence
R,文化、体育和娱乐业,"Culture, Sports and Entertainment",GB/T 4754-2017,1,r468_netflix公司,Netflix,468,0.050488,0,0.986738,1.037226,2024,MtCO2e,Netflix-2024-Sustainability-Report.pdf,6,complete_comparable_scope123_strong_evidence
