industry_section_code,industry_section_name_zh,industry_section_name_en,published_company_count,complete_comparable_company_count,available_emissions_company_count,missing_total_emissions_company_count,complete_scope1_mtco2e,complete_scope2_selected_mtco2e,complete_scope3_mtco2e,complete_total_mtco2e,source_boundary
A,农、林、牧、渔业,"Agriculture, Forestry, Animal Husbandry and Fishery",0,0,0,0,0,0,0,0,complete_scope123_strong_evidence_companies_only
B,采矿业,Mining,17,2,7,15,61.817213,8.859892,1235.117258,1305.794363,complete_scope123_strong_evidence_companies_only
C,制造业,Manufacturing,120,6,28,114,20.263053,41.279695,92.54288,154.085628,complete_scope123_strong_evidence_companies_only
D,电力、热力、燃气及水生产和供应业,"Electricity, Heat, Gas and Water Production and Supply",29,1,10,28,8.331465,1.492572,278.128188,287.952225,complete_scope123_strong_evidence_companies_only
E,建筑业,Construction,11,0,2,11,0,0,0,0,complete_scope123_strong_evidence_companies_only
F,批发和零售业,Wholesale and Retail Trade,44,8,14,36,27.590136,11.718322,1135.502985,1174.811443,complete_scope123_strong_evidence_companies_only
G,交通运输、仓储和邮政业,"Transport, Storage and Post",12,3,4,9,107.283862,0.360681,38.508896,146.153439,complete_scope123_strong_evidence_companies_only
H,住宿和餐饮业,Accommodation and Catering,2,0,1,2,0,0,0,0,complete_scope123_strong_evidence_companies_only
I,信息传输、软件和信息技术服务业,"Information Transmission, Software and Information Technology Services",22,2,7,20,0.173362,0.152327,2.949149,3.274838,complete_scope123_strong_evidence_companies_only
J,金融业,Finance,82,5,15,77,0.160216,0.409049,116.706074,117.275339,complete_scope123_strong_evidence_companies_only
K,房地产业,Real Estate,1,0,1,1,0,0,0,0,complete_scope123_strong_evidence_companies_only
L,租赁和商务服务业,Leasing and Business Services,8,0,1,8,0,0,0,0,complete_scope123_strong_evidence_companies_only
M,科学研究和技术服务业,Scientific Research and Technical Services,0,0,0,0,0,0,0,0,complete_scope123_strong_evidence_companies_only
N,水利、环境和公共设施管理业,"Water, Environment and Public Facilities Management",0,0,0,0,0,0,0,0,complete_scope123_strong_evidence_companies_only
O,居民服务、修理和其他服务业,"Resident Services, Repairs and Other Services",0,0,0,0,0,0,0,0,complete_scope123_strong_evidence_companies_only
P,教育,Education,0,0,0,0,0,0,0,0,complete_scope123_strong_evidence_companies_only
Q,卫生和社会工作,Health and Social Work,0,0,0,0,0,0,0,0,complete_scope123_strong_evidence_companies_only
R,文化、体育和娱乐业,"Culture, Sports and Entertainment",2,0,1,2,0,0,0,0,complete_scope123_strong_evidence_companies_only
S,公共管理、社会保障和社会组织,"Public Administration, Social Security and Social Organizations",1,0,0,1,0,0,0,0,complete_scope123_strong_evidence_companies_only
T,国际组织,International Organizations,0,0,0,0,0,0,0,0,complete_scope123_strong_evidence_companies_only
