decision_id,company_id,company_name_en,company_name_zh,world500_rank,decision_status,missing_scopes,repair_queue_files
EMISSIONS-PARTIAL-EXCLUDE-0001,r183_airbus,AIRBUS,空中客车公司,183,excluded_from_complete_comparable_ranking_until_scope123_gate_passes,Scope 3,assets/data/world500/workbench/world500_emissions_scope3_backfill_queue.csv
EMISSIONS-PARTIAL-EXCLUDE-0002,r264_riotintogroup,RIO TINTO GROUP,力拓集团,264,excluded_from_complete_comparable_ranking_until_scope123_gate_passes,Scope 1 | Scope 2,assets/data/world500/workbench/world500_emissions_scope1_backfill_queue.csv | assets/data/world500/workbench/world500_emissions_scope2_value_backfill_queue.csv | assets/data/world500/workbench/world500_emissions_scope2_method_backfill_queue.csv
EMISSIONS-PARTIAL-EXCLUDE-0003,r268_bhpgroup,BHP GROUP,必和必拓集团,268,excluded_from_complete_comparable_ranking_until_scope123_gate_passes,Scope 1 | Scope 2,assets/data/world500/workbench/world500_emissions_scope1_backfill_queue.csv | assets/data/world500/workbench/world500_emissions_scope2_value_backfill_queue.csv | assets/data/world500/workbench/world500_emissions_scope2_method_backfill_queue.csv
EMISSIONS-PARTIAL-EXCLUDE-0004,r230_bungeglobal,BUNGE GLOBAL,邦吉公司,230,excluded_from_complete_comparable_ranking_until_scope123_gate_passes,Scope 2 method | Scope 3 | Evidence Scope 2 scope2_method,assets/data/world500/workbench/world500_emissions_scope2_method_backfill_queue.csv | assets/data/world500/workbench/world500_emissions_scope3_backfill_queue.csv
EMISSIONS-PARTIAL-EXCLUDE-0005,r357_magnainternational,MAGNA INTERNATIONAL,麦格纳国际,357,excluded_from_complete_comparable_ranking_until_scope123_gate_passes,Scope 2 method | Evidence Scope 2 scope2_method,assets/data/world500/workbench/world500_emissions_scope2_method_backfill_queue.csv
EMISSIONS-PARTIAL-EXCLUDE-0008,r125_ptt,PTT,泰国国家石油有限公司,125,excluded_from_complete_comparable_ranking_until_scope123_gate_passes,Inventory year alignment,assets/data/world500/workbench/world500_emissions_year_alignment_demotions.csv | assets/data/world500/workbench/world500_emissions_year_alignment_demotions.json
EMISSIONS-PARTIAL-EXCLUDE-0011,r395_pbfenergy公司,PBF Energy,PBF Energy,395,excluded_from_complete_comparable_ranking_until_scope123_gate_passes,Scope 3,assets/data/world500/workbench/world500_emissions_scope3_backfill_queue.csv
EMISSIONS-PARTIAL-EXCLUDE-0012,r132_orlen,ORLEN,波兰国营石油公司,132,excluded_from_complete_comparable_ranking_until_scope123_gate_passes,Scope 2,assets/data/world500/workbench/world500_emissions_scope2_value_backfill_queue.csv | assets/data/world500/workbench/world500_emissions_scope2_method_backfill_queue.csv
EMISSIONS-PARTIAL-EXCLUDE-0013,r443_crh公司,CRH,CRH,443,excluded_from_complete_comparable_ranking_until_scope123_gate_passes,Scope 2 | Scope 3,assets/data/world500/workbench/world500_emissions_scope2_value_backfill_queue.csv | assets/data/world500/workbench/world500_emissions_scope2_method_backfill_queue.csv | assets/data/world500/workbench/world500_emissions_scope3_backfill_queue.csv
EMISSIONS-PARTIAL-EXCLUDE-0014,r369_jsainsbury,J. SAINSBURY,森宝利公司,369,excluded_from_complete_comparable_ranking_until_scope123_gate_passes,Scope 1 | Scope 2,assets/data/world500/workbench/world500_emissions_scope1_backfill_queue.csv | assets/data/world500/workbench/world500_emissions_scope2_value_backfill_queue.csv | assets/data/world500/workbench/world500_emissions_scope2_method_backfill_queue.csv
EMISSIONS-PARTIAL-EXCLUDE-0015,r061_valeroenergy,VALERO ENERGY,瓦莱罗能源公司,61,excluded_from_complete_comparable_ranking_until_scope123_gate_passes,Scope 2 | Scope 3,assets/data/world500/workbench/world500_emissions_scope2_value_backfill_queue.csv | assets/data/world500/workbench/world500_emissions_scope2_method_backfill_queue.csv | assets/data/world500/workbench/world500_emissions_scope3_backfill_queue.csv
EMISSIONS-PARTIAL-EXCLUDE-0016,r191_generalelectric,GENERAL ELECTRIC,通用电气公司,191,excluded_from_complete_comparable_ranking_until_scope123_gate_passes,Scope 1 | Scope 2,assets/data/world500/workbench/world500_emissions_scope1_backfill_queue.csv | assets/data/world500/workbench/world500_emissions_scope2_value_backfill_queue.csv | assets/data/world500/workbench/world500_emissions_scope2_method_backfill_queue.csv
EMISSIONS-PARTIAL-EXCLUDE-0017,r049_electricitédefrance,ELECTRICITÉ DE FRANCE,法国电力公司,49,excluded_from_complete_comparable_ranking_until_scope123_gate_passes,Scope 2 method | Scope 3 | Evidence Scope 2 scope2_method,assets/data/world500/workbench/world500_emissions_scope2_method_backfill_queue.csv | assets/data/world500/workbench/world500_emissions_scope3_backfill_queue.csv
EMISSIONS-PARTIAL-EXCLUDE-0018,r024_glencore,GLENCORE,嘉能可,24,excluded_from_complete_comparable_ranking_until_scope123_gate_passes,Scope 2 | Scope 3,assets/data/world500/workbench/world500_emissions_scope2_value_backfill_queue.csv | assets/data/world500/workbench/world500_emissions_scope2_method_backfill_queue.csv | assets/data/world500/workbench/world500_emissions_scope3_backfill_queue.csv
EMISSIONS-PARTIAL-EXCLUDE-0019,r487_heineken,HEINEKEN,喜力公司,487,excluded_from_complete_comparable_ranking_until_scope123_gate_passes,Scope 1 | Scope 2 method | Evidence Scope 2 scope2_method,assets/data/world500/workbench/world500_emissions_scope1_backfill_queue.csv | assets/data/world500/workbench/world500_emissions_scope2_method_backfill_queue.csv
EMISSIONS-PARTIAL-EXCLUDE-0020,r398_compassgroup,COMPASS GROUP,康帕斯集团,398,excluded_from_complete_comparable_ranking_until_scope123_gate_passes,Scope 1 | Scope 2,assets/data/world500/workbench/world500_emissions_scope1_backfill_queue.csv | assets/data/world500/workbench/world500_emissions_scope2_value_backfill_queue.csv | assets/data/world500/workbench/world500_emissions_scope2_method_backfill_queue.csv
EMISSIONS-PARTIAL-EXCLUDE-0021,r079_uniper公司,Uniper,Uniper,79,excluded_from_complete_comparable_ranking_until_scope123_gate_passes,Scope 2 | Scope 3,assets/data/world500/workbench/world500_emissions_scope2_value_backfill_queue.csv | assets/data/world500/workbench/world500_emissions_scope2_method_backfill_queue.csv | assets/data/world500/workbench/world500_emissions_scope3_backfill_queue.csv
EMISSIONS-PARTIAL-EXCLUDE-0022,r066_metaplatforms公司,Meta Platforms,Meta Platforms,66,excluded_from_complete_comparable_ranking_until_scope123_gate_passes,Scope 2,assets/data/world500/workbench/world500_emissions_scope2_value_backfill_queue.csv | assets/data/world500/workbench/world500_emissions_scope2_method_backfill_queue.csv
EMISSIONS-PARTIAL-EXCLUDE-0023,r455_elililly,ELI LILLY,美国礼来公司,455,excluded_from_complete_comparable_ranking_until_scope123_gate_passes,Scope 1 | Scope 2,assets/data/world500/workbench/world500_emissions_scope1_backfill_queue.csv | assets/data/world500/workbench/world500_emissions_scope2_value_backfill_queue.csv | assets/data/world500/workbench/world500_emissions_scope2_method_backfill_queue.csv
EMISSIONS-PARTIAL-EXCLUDE-0024,r320_orange公司,Orange,Orange,320,excluded_from_complete_comparable_ranking_until_scope123_gate_passes,Scope 1 | Scope 2,assets/data/world500/workbench/world500_emissions_scope1_backfill_queue.csv | assets/data/world500/workbench/world500_emissions_scope2_value_backfill_queue.csv | assets/data/world500/workbench/world500_emissions_scope2_method_backfill_queue.csv
EMISSIONS-PARTIAL-EXCLUDE-0025,r421_jardinematheson,JARDINE MATHESON,怡和集团,421,excluded_from_complete_comparable_ranking_until_scope123_gate_passes,Scope 3,assets/data/world500/workbench/world500_emissions_scope3_backfill_queue.csv
EMISSIONS-PARTIAL-EXCLUDE-0026,r431_elo集团,ELO,ELO,431,excluded_from_complete_comparable_ranking_until_scope123_gate_passes,Scope 3,assets/data/world500/workbench/world500_emissions_scope3_backfill_queue.csv
EMISSIONS-PARTIAL-EXCLUDE-0027,r101_eon,E.ON,意昂集团,101,excluded_from_complete_comparable_ranking_until_scope123_gate_passes,Scope 1 | Scope 3,assets/data/world500/workbench/world500_emissions_scope1_backfill_queue.csv | assets/data/world500/workbench/world500_emissions_scope3_backfill_queue.csv
EMISSIONS-PARTIAL-EXCLUDE-0028,r345_raízen公司,Raízen,Raízen,345,excluded_from_complete_comparable_ranking_until_scope123_gate_passes,Scope 2 | Scope 3,assets/data/world500/workbench/world500_emissions_scope2_value_backfill_queue.csv | assets/data/world500/workbench/world500_emissions_scope2_method_backfill_queue.csv | assets/data/world500/workbench/world500_emissions_scope3_backfill_queue.csv
EMISSIONS-PARTIAL-EXCLUDE-0029,r017_alphabet公司,Alphabet,Alphabet,17,excluded_from_complete_comparable_ranking_until_scope123_gate_passes,Scope 3,assets/data/world500/workbench/world500_emissions_scope3_backfill_queue.csv
EMISSIONS-PARTIAL-EXCLUDE-0030,r165_pertamina,PERTAMINA,印尼国家石油公司,165,excluded_from_complete_comparable_ranking_until_scope123_gate_passes,Scope 2 method | Scope 3 | Evidence Scope 2 scope2_method,assets/data/world500/workbench/world500_emissions_scope2_method_backfill_queue.csv | assets/data/world500/workbench/world500_emissions_scope3_backfill_queue.csv
EMISSIONS-PARTIAL-EXCLUDE-0031,r073_hyundaimotor,HYUNDAI MOTOR,现代汽车,73,excluded_from_complete_comparable_ranking_until_scope123_gate_passes,Scope 1 | Scope 3,assets/data/world500/workbench/world500_emissions_scope1_backfill_queue.csv | assets/data/world500/workbench/world500_emissions_scope3_backfill_queue.csv
EMISSIONS-PARTIAL-EXCLUDE-0032,r401_suncorenergy,SUNCOR ENERGY,森科能源公司,401,excluded_from_complete_comparable_ranking_until_scope123_gate_passes,Scope 1 | Scope 2 method | Scope 3 | Evidence Scope 2 scope2_method,assets/data/world500/workbench/world500_emissions_scope1_backfill_queue.csv | assets/data/world500/workbench/world500_emissions_scope2_method_backfill_queue.csv | assets/data/world500/workbench/world500_emissions_scope3_backfill_queue.csv
EMISSIONS-PARTIAL-EXCLUDE-0033,r366_warnerbrosdiscovery,WARNER BROS. DISCOVERY,华纳兄弟探索公司,366,excluded_from_complete_comparable_ranking_until_scope123_gate_passes,Scope 1 | Scope 2,assets/data/world500/workbench/world500_emissions_scope1_backfill_queue.csv | assets/data/world500/workbench/world500_emissions_scope2_value_backfill_queue.csv | assets/data/world500/workbench/world500_emissions_scope2_method_backfill_queue.csv
EMISSIONS-PARTIAL-EXCLUDE-0034,r127_fedex,FEDEX,联邦快递,127,excluded_from_complete_comparable_ranking_until_scope123_gate_passes,Scope 1 | Scope 3,assets/data/world500/workbench/world500_emissions_scope1_backfill_queue.csv | assets/data/world500/workbench/world500_emissions_scope3_backfill_queue.csv
EMISSIONS-PARTIAL-EXCLUDE-0035,r235_conocophillips,CONOCOPHILLIPS,康菲石油公司,235,excluded_from_complete_comparable_ranking_until_scope123_gate_passes,Scope 1 | Scope 3,assets/data/world500/workbench/world500_emissions_scope1_backfill_queue.csv | assets/data/world500/workbench/world500_emissions_scope3_backfill_queue.csv
EMISSIONS-PARTIAL-EXCLUDE-0036,r042_mercedesbenzgroup,MERCEDES-BENZ GROUP,梅赛德斯-奔驰集团,42,excluded_from_complete_comparable_ranking_until_scope123_gate_passes,Scope 2 | Scope 3,assets/data/world500/workbench/world500_emissions_scope2_value_backfill_queue.csv | assets/data/world500/workbench/world500_emissions_scope2_method_backfill_queue.csv | assets/data/world500/workbench/world500_emissions_scope3_backfill_queue.csv
EMISSIONS-PARTIAL-EXCLUDE-0037,r176_巴西jbs公司,JBS,巴西JBS,176,excluded_from_complete_comparable_ranking_until_scope123_gate_passes,Scope 2 | Scope 3,assets/data/world500/workbench/world500_emissions_scope2_value_backfill_queue.csv | assets/data/world500/workbench/world500_emissions_scope2_method_backfill_queue.csv | assets/data/world500/workbench/world500_emissions_scope3_backfill_queue.csv
EMISSIONS-PARTIAL-EXCLUDE-0038,r464_britishamericantobacco,BRITISH AMERICAN TOBACCO,英美烟草集团,464,excluded_from_complete_comparable_ranking_until_scope123_gate_passes,Scope 2 | Scope 3,assets/data/world500/workbench/world500_emissions_scope2_value_backfill_queue.csv | assets/data/world500/workbench/world500_emissions_scope2_method_backfill_queue.csv | assets/data/world500/workbench/world500_emissions_scope3_backfill_queue.csv
EMISSIONS-PARTIAL-EXCLUDE-0039,r356_thermofisherscientific,THERMO FISHER SCIENTIFIC,赛默飞世尔科技公司,356,excluded_from_complete_comparable_ranking_until_scope123_gate_passes,Scope 2 | Scope 3,assets/data/world500/workbench/world500_emissions_scope2_value_backfill_queue.csv | assets/data/world500/workbench/world500_emissions_scope2_method_backfill_queue.csv | assets/data/world500/workbench/world500_emissions_scope3_backfill_queue.csv
EMISSIONS-PARTIAL-EXCLUDE-0040,r193_lockheedmartin,LOCKHEED MARTIN,洛克希德－马丁,193,excluded_from_complete_comparable_ranking_until_scope123_gate_passes,Scope 2 | Scope 3,assets/data/world500/workbench/world500_emissions_scope2_value_backfill_queue.csv | assets/data/world500/workbench/world500_emissions_scope2_method_backfill_queue.csv | assets/data/world500/workbench/world500_emissions_scope3_backfill_queue.csv
EMISSIONS-PARTIAL-EXCLUDE-0041,r266_prudentialfinancial,PRUDENTIAL FINANCIAL,保德信金融集团,266,excluded_from_complete_comparable_ranking_until_scope123_gate_passes,Inventory year alignment,assets/data/world500/workbench/world500_emissions_year_alignment_demotions.csv | assets/data/world500/workbench/world500_emissions_year_alignment_demotions.json
EMISSIONS-PARTIAL-EXCLUDE-0042,r234_panasonicholdings,PANASONIC HOLDINGS,松下控股公司,234,excluded_from_complete_comparable_ranking_until_scope123_gate_passes,Scope 2 | Scope 3,assets/data/world500/workbench/world500_emissions_scope2_value_backfill_queue.csv | assets/data/world500/workbench/world500_emissions_scope2_method_backfill_queue.csv | assets/data/world500/workbench/world500_emissions_scope3_backfill_queue.csv
