queue_id,company_id,report_id,inventory_year,reporting_entity_en,scope_en,energy_metric_en,energy_type_en,renewable_or_nonrenewable,purchased_electricity_flag,fuel_type,value,unit,source_basis_en,linked_emission_record_id,linked_factor_id,evidence_page,source_file,review_decision,reviewer_note,confidence_level
energy_00001,r001_walmart,,,WALMART,Scope 1,Fuel or site energy consumption,,,,,,,,r001_walmart_Scope 1_1,,106,FY2025-Walmart-ESG-Report.pdf,,,
energy_00002,r001_walmart,,,WALMART,Scope 2,Purchased electricity,,,yes,,,,,r001_walmart_Scope 2_2,,106,FY2025-Walmart-ESG-Report.pdf,,,
energy_00003,r002_amazoncom,,,AMAZON.COM,Scope 1,Fuel or site energy consumption,,,,,,,,r002_amazoncom_Scope 1_3,,50,2024-amazon-sustainability-report.pdf,,,
energy_00004,r002_amazoncom,,,AMAZON.COM,Scope 2,Purchased electricity,,,yes,,,,,r002_amazoncom_Scope 2_4,,50,2024-amazon-sustainability-report.pdf,,,
energy_00005,r007_apple,,,APPLE,Scope 1,Fuel or site energy consumption,,,,,,,,r007_apple_Scope 1_5,,104,Apple_Environmental_Progress_Report_2025.pdf,,,
energy_00006,r007_apple,,,APPLE,Scope 1,Fuel or site energy consumption,,,,,,,,r007_apple_Scope 1_6,,99,Apple_Environmental_Progress_Report_2025.pdf,,,
energy_00007,r007_apple,,,APPLE,Scope 2,Purchased electricity,,,yes,,,,,r007_apple_Scope 2_7,,104,Apple_Environmental_Progress_Report_2025.pdf,,,
energy_00008,r007_apple,,,APPLE,Scope 2,Purchased electricity,,,yes,,,,,r007_apple_Scope 2_8,,99,Apple_Environmental_Progress_Report_2025.pdf,,,
energy_00009,r008_unitedhealthgroup,,,UNITEDHEALTH GROUP,Scope 1,Fuel or site energy consumption,,,,,,,,r008_unitedhealthgroup_Scope 1_9,,81,UNITEDHEALTH GROUP—2024-sustainability-report.pdf,,,
energy_00010,r008_unitedhealthgroup,,,UNITEDHEALTH GROUP,Scope 2,Purchased electricity,,,yes,,,,,r008_unitedhealthgroup_Scope 2_10,,81,UNITEDHEALTH GROUP—2024-sustainability-report.pdf,,,
