queue_id,company_id,company_name_en,industry_section_code,report_id,inventory_year,scope_en,scope3_category_code,value_text,value_mtco2e,unit_raw,boundary_type_en,boundary_type_zh,operated_or_nonoperated,equity_share_basis,organizational_boundary,emissions_basis_co2_or_co2e,gas_breakout_available,methane_or_flaring_flag,product_use_cat11_flag,production_denominator,evidence_page,source_file,duplicate_boundary_flag,accepted_boundary_decision,reviewer_note
oilgas_boundary_00001,r013_shell,SHELL,,,,,1,119,119.0,MtCO2e,,,,,,CO2e,,,,,375,shell-annual-report-2024.pdf,,,
oilgas_boundary_00002,r013_shell,SHELL,,,,,1,119,119.0,MtCO2e,Equity boundary,,,yes,Equity boundary,CO2e,,,,,99,shell-annual-report-2024.pdf,,,
oilgas_boundary_00003,r013_shell,SHELL,,,,,11,845,845.0,MtCO2e,,,,,,CO2e,,,yes,,99,shell-annual-report-2024.pdf,,,
oilgas_boundary_00004,r013_shell,SHELL,,,,,11,845,845.0,MtCO2e,ESRS perimeter,,,,ESRS perimeter,CO2e,,,yes,,375,shell-annual-report-2024.pdf,,,
oilgas_boundary_00005,r013_shell,SHELL,,,,,11,491,491.0,MtCO2e,Equity boundary,,,yes,Equity boundary,CO2e,,,yes,,99,shell-annual-report-2024.pdf,,,
oilgas_boundary_00006,r013_shell,SHELL,,,,,3,2,2.0,MtCO2e,,,,,,CO2e,,,,,103,shell-annual-report-2024.pdf,,,
oilgas_boundary_00007,r013_shell,SHELL,,,,,3,117,,MtCO2,Equity boundary,,,yes,Equity boundary,review,,,,,99,shell-annual-report-2024.pdf,,,
oilgas_boundary_00008,r013_shell,SHELL,,,,,9,3,3.0,MtCO2e,,,,,,CO2e,,,,,99,shell-annual-report-2024.pdf,,,
oilgas_boundary_00009,r013_shell,SHELL,,,,Scope 1,,,50.0,,,,,,,review,,,,,109,shell-annual-report-2024.pdf,,,
oilgas_boundary_00010,r013_shell,SHELL,,,,Scope 2,,,8.0,,,,,,,review,,,,,109,shell-annual-report-2024.pdf,,,
oilgas_boundary_00011,r013_shell,SHELL,,,,Scope 2,,,8.0,,,,,,,review,,,,,109,shell-annual-report-2024.pdf,,,
oilgas_boundary_00012,r013_shell,SHELL,,,,Scope 3,,154,154.0,MtCO2e,,,,,,CO2e,,,,,99,shell-annual-report-2024.pdf,,,
oilgas_boundary_00013,r023_totalenergies,TOTALENERGIES,,,,,1,28,28.0,MtCO2e,,,,,,CO2e,,,,,107,totalenergies_sustainability-climate-2025-progress-report_2025_en.pdf,,,
oilgas_boundary_00014,r023_totalenergies,TOTALENERGIES,,,,,10,5,5.0,MtCO2e,,,,,,CO2e,,,,,107,totalenergies_sustainability-climate-2025-progress-report_2025_en.pdf,,,
oilgas_boundary_00015,r023_totalenergies,TOTALENERGIES,,,,,11,342,342.0,MtCO2e,,,,,,CO2e,,,yes,,107,totalenergies_sustainability-climate-2025-progress-report_2025_en.pdf,,,
oilgas_boundary_00016,r023_totalenergies,TOTALENERGIES,,,,,12,11,11.0,MtCO2e,,,,,,CO2e,,,,,107,totalenergies_sustainability-climate-2025-progress-report_2025_en.pdf,,,
oilgas_boundary_00017,r023_totalenergies,TOTALENERGIES,,,,,14,< 1,,MtCO2e,,,,,,CO2e,,,,,107,totalenergies_sustainability-climate-2025-progress-report_2025_en.pdf,,,
oilgas_boundary_00018,r023_totalenergies,TOTALENERGIES,,,,,15,14,14.0,MtCO2e,,,,,,CO2e,,,,,107,totalenergies_sustainability-climate-2025-progress-report_2025_en.pdf,,,
oilgas_boundary_00019,r023_totalenergies,TOTALENERGIES,,,,,2,4,4.0,MtCO2e,,,,,,CO2e,,,,,107,totalenergies_sustainability-climate-2025-progress-report_2025_en.pdf,,,
oilgas_boundary_00020,r023_totalenergies,TOTALENERGIES,,,,,3,4,4.0,MtCO2e,,,,,,CO2e,,,,,107,totalenergies_sustainability-climate-2025-progress-report_2025_en.pdf,,,
