queue_id,company_id,world500_rank,company_name_en,report_id,inventory_year,financial_subsector,cat15_disclosure_status,pcaf_standard_mentioned,financed_or_facilitated_or_insured,asset_class,portfolio_segment,absolute_emissions_mtco2e,intensity_value,intensity_unit,attribution_factor,exposure_amount,evic_or_enterprise_value,pcaf_data_quality_score,coverage_percent,scope_included,evidence_page,source_file,review_decision,reviewer_note,confidence_level
pcaf_cat15_00001,r008_unitedhealthgroup,8,UNITEDHEALTH GROUP,,,,not_assessed,,,business_loans_unlisted_equity,,,,,,,,,,,,,,,
pcaf_cat15_00002,r008_unitedhealthgroup,8,UNITEDHEALTH GROUP,,,,not_assessed,,,commercial_real_estate,,,,,,,,,,,,,,,
pcaf_cat15_00003,r008_unitedhealthgroup,8,UNITEDHEALTH GROUP,,,,not_assessed,,,listed_equity_corporate_bonds,,,,,,,,,,,,,,,
pcaf_cat15_00004,r008_unitedhealthgroup,8,UNITEDHEALTH GROUP,,,,not_assessed,,,mortgages,,,,,,,,,,,,,,,
pcaf_cat15_00005,r008_unitedhealthgroup,8,UNITEDHEALTH GROUP,,,,not_assessed,,,motor_vehicle_loans,,,,,,,,,,,,,,,
pcaf_cat15_00006,r008_unitedhealthgroup,8,UNITEDHEALTH GROUP,,,,not_assessed,,,project_finance,,,,,,,,,,,,,,,
pcaf_cat15_00007,r009_berkshirehathaway,9,BERKSHIRE HATHAWAY,,,,not_assessed,,,business_loans_unlisted_equity,,,,,,,,,,,,,,,
pcaf_cat15_00008,r009_berkshirehathaway,9,BERKSHIRE HATHAWAY,,,,not_assessed,,,commercial_real_estate,,,,,,,,,,,,,,,
pcaf_cat15_00009,r009_berkshirehathaway,9,BERKSHIRE HATHAWAY,,,,not_assessed,,,listed_equity_corporate_bonds,,,,,,,,,,,,,,,
pcaf_cat15_00010,r009_berkshirehathaway,9,BERKSHIRE HATHAWAY,,,,not_assessed,,,mortgages,,,,,,,,,,,,,,,
pcaf_cat15_00011,r009_berkshirehathaway,9,BERKSHIRE HATHAWAY,,,,not_assessed,,,motor_vehicle_loans,,,,,,,,,,,,,,,
pcaf_cat15_00012,r009_berkshirehathaway,9,BERKSHIRE HATHAWAY,,,,not_assessed,,,project_finance,,,,,,,,,,,,,,,
pcaf_cat15_00013,r021_jpmorganchase,21,JPMORGAN CHASE,,,,not_assessed,,,business_loans_unlisted_equity,,,,,,,,,,,,,,,
pcaf_cat15_00014,r021_jpmorganchase,21,JPMORGAN CHASE,,,,not_assessed,,,commercial_real_estate,,,,,,,,,,,,,,,
pcaf_cat15_00015,r021_jpmorganchase,21,JPMORGAN CHASE,,,,not_assessed,,,listed_equity_corporate_bonds,,,,,,,,,,,,,,,
pcaf_cat15_00016,r021_jpmorganchase,21,JPMORGAN CHASE,,,,not_assessed,,,mortgages,,,,,,,,,,,,,,,
pcaf_cat15_00017,r021_jpmorganchase,21,JPMORGAN CHASE,,,,not_assessed,,,motor_vehicle_loans,,,,,,,,,,,,,,,
pcaf_cat15_00018,r021_jpmorganchase,21,JPMORGAN CHASE,,,,not_assessed,,,project_finance,,,,,,,,,,,,,,,
pcaf_cat15_00019,r022_industrialandcommercialbankofchina,22,INDUSTRIAL & COMMERCIAL BANK OF CHINA,,,,not_assessed,,,business_loans_unlisted_equity,,,,,,,,,,,,,,,
pcaf_cat15_00020,r022_industrialandcommercialbankofchina,22,INDUSTRIAL & COMMERCIAL BANK OF CHINA,,,,not_assessed,,,commercial_real_estate,,,,,,,,,,,,,,,
pcaf_cat15_00021,r022_industrialandcommercialbankofchina,22,INDUSTRIAL & COMMERCIAL BANK OF CHINA,,,,not_assessed,,,listed_equity_corporate_bonds,,,,,,,,,,,,,,,
pcaf_cat15_00022,r022_industrialandcommercialbankofchina,22,INDUSTRIAL & COMMERCIAL BANK OF CHINA,,,,not_assessed,,,mortgages,,,,,,,,,,,,,,,
pcaf_cat15_00023,r022_industrialandcommercialbankofchina,22,INDUSTRIAL & COMMERCIAL BANK OF CHINA,,,,not_assessed,,,motor_vehicle_loans,,,,,,,,,,,,,,,
pcaf_cat15_00024,r022_industrialandcommercialbankofchina,22,INDUSTRIAL & COMMERCIAL BANK OF CHINA,,,,not_assessed,,,project_finance,,,,,,,,,,,,,,,
pcaf_cat15_00025,r030_chinaconstructionbank,30,CHINA CONSTRUCTION BANK,,,,not_assessed,,,business_loans_unlisted_equity,,,,,,,,,,,,,,,
pcaf_cat15_00026,r030_chinaconstructionbank,30,CHINA CONSTRUCTION BANK,,,,not_assessed,,,commercial_real_estate,,,,,,,,,,,,,,,
pcaf_cat15_00027,r030_chinaconstructionbank,30,CHINA CONSTRUCTION BANK,,,,not_assessed,,,listed_equity_corporate_bonds,,,,,,,,,,,,,,,
pcaf_cat15_00028,r030_chinaconstructionbank,30,CHINA CONSTRUCTION BANK,,,,not_assessed,,,mortgages,,,,,,,,,,,,,,,
pcaf_cat15_00029,r030_chinaconstructionbank,30,CHINA CONSTRUCTION BANK,,,,not_assessed,,,motor_vehicle_loans,,,,,,,,,,,,,,,
pcaf_cat15_00030,r030_chinaconstructionbank,30,CHINA CONSTRUCTION BANK,,,,not_assessed,,,project_finance,,,,,,,,,,,,,,,
pcaf_cat15_00031,r033_cignagroup,33,CIGNA GROUP,,,,not_assessed,,,business_loans_unlisted_equity,,,,,,,,,,,,,,,
pcaf_cat15_00032,r033_cignagroup,33,CIGNA GROUP,,,,not_assessed,,,commercial_real_estate,,,,,,,,,,,,,,,
pcaf_cat15_00033,r033_cignagroup,33,CIGNA GROUP,,,,not_assessed,,,listed_equity_corporate_bonds,,,,,,,,,,,,,,,
pcaf_cat15_00034,r033_cignagroup,33,CIGNA GROUP,,,,not_assessed,,,mortgages,,,,,,,,,,,,,,,
pcaf_cat15_00035,r033_cignagroup,33,CIGNA GROUP,,,,not_assessed,,,motor_vehicle_loans,,,,,,,,,,,,,,,
pcaf_cat15_00036,r033_cignagroup,33,CIGNA GROUP,,,,not_assessed,,,project_finance,,,,,,,,,,,,,,,
pcaf_cat15_00037,r034_agriculturalbankofchina,34,AGRICULTURAL BANK OF CHINA,,,,not_assessed,,,business_loans_unlisted_equity,,,,,,,,,,,,,,,
pcaf_cat15_00038,r034_agriculturalbankofchina,34,AGRICULTURAL BANK OF CHINA,,,,not_assessed,,,commercial_real_estate,,,,,,,,,,,,,,,
pcaf_cat15_00039,r034_agriculturalbankofchina,34,AGRICULTURAL BANK OF CHINA,,,,not_assessed,,,listed_equity_corporate_bonds,,,,,,,,,,,,,,,
pcaf_cat15_00040,r034_agriculturalbankofchina,34,AGRICULTURAL BANK OF CHINA,,,,not_assessed,,,mortgages,,,,,,,,,,,,,,,
pcaf_cat15_00041,r034_agriculturalbankofchina,34,AGRICULTURAL BANK OF CHINA,,,,not_assessed,,,motor_vehicle_loans,,,,,,,,,,,,,,,
pcaf_cat15_00042,r034_agriculturalbankofchina,34,AGRICULTURAL BANK OF CHINA,,,,not_assessed,,,project_finance,,,,,,,,,,,,,,,
pcaf_cat15_00043,r037_bankofchina,37,BANK OF CHINA,,,,not_assessed,,,business_loans_unlisted_equity,,,,,,,,,,,,,,,
pcaf_cat15_00044,r037_bankofchina,37,BANK OF CHINA,,,,not_assessed,,,commercial_real_estate,,,,,,,,,,,,,,,
pcaf_cat15_00045,r037_bankofchina,37,BANK OF CHINA,,,,not_assessed,,,listed_equity_corporate_bonds,,,,,,,,,,,,,,,
pcaf_cat15_00046,r037_bankofchina,37,BANK OF CHINA,,,,not_assessed,,,mortgages,,,,,,,,,,,,,,,
pcaf_cat15_00047,r037_bankofchina,37,BANK OF CHINA,,,,not_assessed,,,motor_vehicle_loans,,,,,,,,,,,,,,,
pcaf_cat15_00048,r037_bankofchina,37,BANK OF CHINA,,,,not_assessed,,,project_finance,,,,,,,,,,,,,,,
pcaf_cat15_00049,r038_bankofamerica,38,BANK OF AMERICA,,,,not_assessed,,,business_loans_unlisted_equity,,,,,,,,,,,,,,,
pcaf_cat15_00050,r038_bankofamerica,38,BANK OF AMERICA,,,,not_assessed,,,commercial_real_estate,,,,,,,,,,,,,,,
pcaf_cat15_00051,r038_bankofamerica,38,BANK OF AMERICA,,,,not_assessed,,,listed_equity_corporate_bonds,,,,,,,,,,,,,,,
