queue_id,priority_rank,company_id,world500_rank,company_name_en,company_name_zh,industry_section_code,report_id,report_title,inventory_year,scope3_category_code,scope3_category_en,current_screening_status,current_reported_value_mtco2e,current_evidence_page,missing_or_conflict_type,relevance_basis_en,quantitative_share_percent,source_layer,source_file,review_decision,corrected_value_mtco2e,corrected_status,corrected_evidence_page,reviewer_note,confidence_level
scope3_screen_00001,1,r001_walmart,1,WALMART,沃尔玛,F,,,,1,Category 1 Purchased goods and services,not_assessed,,,missing_screening_status,,,missing_screening,,,,,,,
scope3_screen_00002,2,r001_walmart,1,WALMART,沃尔玛,F,,,,2,Category 2 Capital goods,not_assessed,,,missing_screening_status,,,missing_screening,,,,,,,
scope3_screen_00003,3,r001_walmart,1,WALMART,沃尔玛,F,,,,3,Category 3 Fuel- and energy-related activities,not_assessed,,,missing_screening_status,,,missing_screening,,,,,,,
scope3_screen_00004,4,r001_walmart,1,WALMART,沃尔玛,F,,,,4,Category 4 Upstream transportation and distribution,not_assessed,,,missing_screening_status,,,missing_screening,,,,,,,
scope3_screen_00005,5,r001_walmart,1,WALMART,沃尔玛,F,,,,5,Category 5 Waste generated in operations,not_assessed,,,missing_screening_status,,,missing_screening,,,,,,,
scope3_screen_00006,6,r001_walmart,1,WALMART,沃尔玛,F,,,,6,Category 6 Business travel,not_assessed,,,missing_screening_status,,,missing_screening,,,,,,,
scope3_screen_00007,7,r001_walmart,1,WALMART,沃尔玛,F,,,,7,Category 7 Employee commuting,not_assessed,,,missing_screening_status,,,missing_screening,,,,,,,
scope3_screen_00008,8,r001_walmart,1,WALMART,沃尔玛,F,,,,8,Category 8 Upstream leased assets,not_assessed,,,missing_screening_status,,,missing_screening,,,,,,,
scope3_screen_00009,9,r001_walmart,1,WALMART,沃尔玛,F,,,,9,Category 9 Downstream transportation and distribution,not_assessed,,,missing_screening_status,,,missing_screening,,,,,,,
scope3_screen_00010,10,r001_walmart,1,WALMART,沃尔玛,F,,,,10,Category 10 Processing of sold products,not_assessed,,,missing_screening_status,,,missing_screening,,,,,,,
scope3_screen_00011,11,r001_walmart,1,WALMART,沃尔玛,F,,,,11,Category 11 Use of sold products,not_assessed,,,missing_screening_status,,,missing_screening,,,,,,,
