queue_id,company_id,report_id,inventory_year,scope3_total_mtco2e,category_sum_mtco2e,delta_mtco2e,delta_percent,tolerance_flag,categories_present,categories_missing,duplicate_category_codes,boundary_variants,value_unit_raw,evidence_pages,source_files,reconciliation_decision,accepted_total_value,accepted_category_sum,reviewer_note,company_name_en,company_name_zh,world500_rank
scope3_recon_00001,r001_walmart,,,636.57,,-636.57,-100.0,missing_total_or_categories,,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15,,,,106,FY2025-Walmart-ESG-Report.pdf,,,,,WALMART,沃尔玛,1
scope3_recon_00002,r002_amazoncom,,,50.32,,-50.32,-100.0,missing_total_or_categories,,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15,,,,50,2024-amazon-sustainability-report.pdf,,,,,AMAZON.COM,亚马逊,2
scope3_recon_00003,r007_apple,,,15.19099,,-15.19099,-100.0,missing_total_or_categories,,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15,,,,105|106,Apple_Environmental_Progress_Report_2025.pdf,,,,,APPLE,苹果公司,7
scope3_recon_00004,r008_unitedhealthgroup,,,17.977601,0.5213369999999999,-17.456264,-97.10007469850956,review_delta_gt_5pct,4,1|2|3|5|6|7|8|9|10|11|12|13|14|15,,Operational control boundary,tCO2e,82,UNITEDHEALTH GROUP—2024-sustainability-report.pdf,,,,,UNITEDHEALTH GROUP,联合健康集团,8
scope3_recon_00005,r011_volkswagen,,,413.95,89572138.0,89571724.05,21638295.458388694,review_delta_gt_5pct,1,2|3|4|5|6|7|8|9|10|11|12|13|14|15,,,MtCO2e,66,2023_Volkswagen_Group_Sustainability_Report.pdf,,,,,VOLKSWAGEN,大众公司,11
scope3_recon_00006,r013_shell,,,154.0,2424.0,2270.0,1474.025974025974,review_delta_gt_5pct,1|3|9|11,2|4|5|6|7|8|10|12|13|14|15,1|11,ESRS perimeter|Equity boundary,MtCO2e,103|375|99,shell-annual-report-2024.pdf,,,,,SHELL,壳牌公司,13
scope3_recon_00007,r016_mckesson,,,,25.426174000000003,,,missing_total_or_categories,1|2|3|4|5|6|7,8|9|10|11|12|13|14|15,,,tCO2e,64,McKesson Impact Report 2024.pdf,,,,,MCKESSON,麦克森公司,16
scope3_recon_00008,r017_alphabet公司,,,12.052999999999999,11.655999999999999,-0.39700000000000024,-3.293785779473992,pass,1|2|3|4|5|6|7|11,8|9|10|12|13|14|15,,,tCO2e,105,google-2025-environmental-report.pdf,,,,,Alphabet,Alphabet,17
scope3_recon_00009,r019_trafiguragroup,,,,318.9844509999999,,,missing_total_or_categories,1|3|6|8|10|11|14|15,2|4|5|7|9|12|13,,,tCO2e,26,2024_trafigura_sustainability_report.pdf,,,,,TRAFIGURA GROUP,托克集团,19
scope3_recon_00010,r023_totalenergies,,,342.0,415.0,73.0,21.34502923976608,review_delta_gt_5pct,1|2|3|4|8|9|10|11|12|15,5|6|7|13|14,,,MtCO2e,107,totalenergies_sustainability-climate-2025-progress-report_2025_en.pdf,,,,,TOTALENERGIES,道达尔能源公司,23
