standard_system,standard_id,standard_name_zh,standard_name_en,accepted_company_count,review_company_count,weak_company_count,demoted_company_count,traceable_context_company_count,enters_main_sankey
GHG Protocol,ghg_corporate_standard,GHG Protocol 企业核算与报告标准,GHG Protocol Corporate Accounting and Reporting Standard,99,0,0,117,113,accepted_only
GHG Protocol,ghg_scope3_standard,GHG Protocol 企业价值链（Scope 3）核算与报告标准,GHG Protocol Corporate Value Chain (Scope 3) Accounting and Reporting Standard,68,0,0,118,98,accepted_only
GHG Protocol,ghg_financial_industry_standard,金融行业全球温室气体核算与报告标准,Global GHG Accounting and Reporting Standard for the Financial Industry,41,0,0,0,0,accepted_only
GHG Protocol,ghg_scope2_guidance,GHG Protocol Scope 2 指南,GHG Protocol Scope 2 Guidance,39,0,0,122,107,accepted_only
GHG Protocol,ghg_project_protocol,GHG Protocol 项目减排核算协议,GHG Protocol Project Protocol,3,0,0,3,2,accepted_only
GHG Protocol,ghg_product_standard,GHG Protocol 产品生命周期核算与报告标准,GHG Protocol Product Life Cycle Accounting and Reporting Standard,1,0,0,17,16,accepted_only
GHG Protocol,ghg_scope3_calculation_guidance,GHG Protocol Scope 3 计算指南,GHG Protocol Scope 3 Calculation Guidance,16,0,0,130,111,accepted_only
ISO,iso_14064,ISO 14064,ISO 14064,4,37,36,0,0,accepted_only
ISO,iso_14067,ISO 14067,ISO 14067,2,14,14,0,0,accepted_only
ISO,iso_14040_14044,ISO 14040/14044,ISO 14040/14044,0,5,0,0,0,zero_accepted_retained_as_requested_node
GB/T,gb_t_24067_2024,GB/T 24067-2024,GB/T 24067-2024,1,0,0,0,0,accepted_only
GB/T,gb_t_32150_2015,GB/T 32150-2015,GB/T 32150-2015,1,1,1,0,0,accepted_only
